symbol,close,rsi,adx,tech_rating,perf_1m,above_sma200,score
ORISSAMINE,4572.2,57.40275673570001,44.726377584098245,Buy,22.57908847184986,True,6
RISHABH,687.7,57.40392901210269,30.03457748700499,Strong buy,10.20833333333334,True,6
SPORTKING,224.23,61.52531486460485,25.761052806638084,Buy,4.099350046425248,True,6
BLSE,319.7,65.01939581760374,41.88445321842761,Strong buy,11.78321678321678,True,6
VINDHYATEL,2396.7,57.29678438656861,35.54490578485313,Buy,25.81102362204724,True,6
TASTYBITE,9911.5,57.3399483313179,49.5036483699284,Buy,9.883592017738358,True,6
VEEDOL,1510.1,58.51220455620813,35.76388055656392,Strong buy,7.182908652139954,True,6
HINDALCO,1053.0,58.68434121296961,26.67080689818657,Buy,11.49346180316586,True,6
GRASIM,3299.9,57.96958673275507,25.30123069861511,Buy,6.448387096774196,True,6
EICHERMOT,8035.0,59.39798832848226,34.373634832360395,Buy,4.622395833333333,True,6
TVSMOTOR,4464.0,69.00377226905343,47.50165353099865,Strong buy,14.314980793854032,True,6
BURNPUR,13.36,55.25793127727353,28.997385087989407,Buy,117.94453507340948,True,6
GANDHAR,255.39,61.04594561541402,36.17238471618259,Buy,-8.462365591397853,True,6
RAMCOIND,349.65,52.51640992950665,29.325887457434845,Buy,6.115326251896806,True,6
ADFFOODS,280.7,53.82565918824246,27.09277884331171,Buy,-8.863636363636367,True,6
SOLARA,617.3,66.17886697601301,34.250697225742485,Buy,25.2129817444219,True,6
STYLEBAAZA,408.9,66.70895953298307,38.66617207152244,Strong buy,47.13925872616049,True,6
COSMOFIRST,924.3,54.947672544492505,27.42790111440415,Buy,4.914869466515318,True,6
CYBERMEDIA,18.17,65.57436529551876,41.87823656178171,Buy,17.225806451612915,True,6
HYUNDAI,2250.0,66.50676418236506,38.17273693094098,Buy,14.620478858889454,True,6
MOTHERSON,165.0,59.05512946326412,35.588462092300915,Buy,12.25253418599904,True,6
IDEA,15.06,69.95287857339378,34.89216120980519,Buy,14.699162223914696,True,6
ABB,7609.0,55.98910232912733,30.19654503603735,Buy,2.5609920474457475,True,6
GKB,64.67,52.436038084634056,29.300231295485208,Buy,-23.01190476190476,True,6
GNA,545.8,53.689195680704685,30.335713049924944,Buy,5.980582524271836,True,6
