date,symbol,subject,details,category
26-Aug-2026 00:59:55,RELTD,ESOP/ESOS/ESPS,Ravindra Energy Limited has informed the Exchange regarding Allotment of 12500  Shares.,ESOP/ESOS/ESPS
26-Aug-2026 00:32:39,SHRIPISTON,Acquisition,SPR Auto Technologies Limited has informed the Exchange about Acquisition - Investment by way of Subscription to Equity Shares,Acquisition
26-Aug-2026 00:02:57,SHRIPISTON,Agreements,SPR Auto Technologies Limited has informed the Exchange about Investment by way of Subscription to Equity Shares,Agreements
25-Aug-2026 23:48:04,AMBER,Record Date,"Pursuant to Regulation 42 of SEBI (LODR) Regulations, 2015, we wish to inform you that the Register of Members and Share Transfer Register of the Company will remain closed from Tuesday, 8th September 2026 to Wednesday, 16th September 2026 (both days inclusive) for the purpose of 36th Annual General",Record Date
25-Aug-2026 23:39:20,AMBER,Record Date,Amber Enterprises India Limited has informed the Exchange that Record date for the purpose of Record date for the purpose of 36th Annual General Meeting of the Company  is 07-Sep-2026.,Record Date
25-Aug-2026 23:29:46,GUJTHEM,General Updates,Gujarat Themis Biosyn Limited has informed the Exchange about General Updates - Outcome of Board meeting relating to QIP Issue.,General Updates
25-Aug-2026 23:28:32,KSR,Shareholders meeting,"KSR Footwear Limited has informed the Exchange regarding voting results of  Annual General Meeting held on August 24, 2026",Shareholders meeting
25-Aug-2026 23:28:09,FORCEMOT,Shareholders meeting,"FORCE MOTORS LTD has informed the Exchange regarding Notice of Annual General Meeting to be held on September 16, 2026",Shareholders meeting
25-Aug-2026 23:28:08,IRCON,Action(s) taken or orders passed,Ircon International Limited has informed the Exchange about Action(s) taken or orders passed,Action(s) taken or orders passed
25-Aug-2026 23:26:27,AHCL,Corrigendum,"Anlon Healthcare Limited has informed the Exchange regarding Corrigendum to Notice of Annual General Meeting to be held on September 05, 2026",Corrigendum
25-Aug-2026 23:19:03,RECLTD,Shareholders meeting,"Proceedings of 57th Annual General Meeting of REC Limited held on Tuesday, August 25,2026.",Shareholders meeting
25-Aug-2026 23:06:33,ROSSELLIND,Shareholders meeting,"Rossell India Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on August 25, 2026. Further, the company has informed the Exchange regarding voting results.",Shareholders meeting
25-Aug-2026 23:04:38,AMBER,Shareholders meeting,"Pursuant to Regulations 30 and 34 of Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, as amended, please find enclosed herewith the Notice of 36th AGM of the Company, scheduled to be held on Wednesday, 16th September 2026 at 11:00 A.M. IST, ",Shareholders meeting
25-Aug-2026 23:01:55,RECLTD,General Updates,Intimation of incorporation of subsidiary companies.,General Updates
25-Aug-2026 23:00:02,HEROMOTOCO,Acquisition,"Pursuant to Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, please refer to the attached disclosure regarding update on investment in Ather Energy Limited.",Acquisition
25-Aug-2026 22:58:36,STYL,Copy of Newspaper Publication,Seshaasai Technologies Limited has informed the Exchange about Copy of Newspaper Publication,Copy of Newspaper Publication
25-Aug-2026 22:57:03,EPL,General Updates,Dispatch of communication to the Shareholders - weblink and QR code of Integrated Annual Report for the FY 2025-26 including Notice of 43rd AGM.,General Updates
25-Aug-2026 22:56:51,POLYMED,General Updates,POLYMED: Intimation On Rescheduling Of Investor/Analyst Meet,General Updates
25-Aug-2026 22:54:11,SMLMAH,General Updates,SML Mahindra Limited has informed the Exchange about General Updates regarding Additional information to the shareholders - Dissemination of Business Valuation Report and Fairness Opinion referred to in the Postal Ballot Notice dated 7th August 2026,General Updates
25-Aug-2026 22:53:46,STYL,General Updates,"Seshaasai Technologies Limited has informed the Exchange about Intimation under Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015   Acquisition/Purchase of Immovable Property",General Updates
