index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,25-Aug-2026,24334.55,2327216,2530573,1.09,24300,0.36
BANKNIFTY,25-Aug-2026,57514.2,721859,626727,0.87,57500,0.44
