index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,14-Jul-2026,24049.65,2371205,1826001,0.77,24100,11.06
BANKNIFTY,28-Jul-2026,57266.3,484097,394920,0.82,58000,14.36
