date,symbol,subject,details,category
13-Aug-2026 18:06:55,SARDAEN,Spurt in Volume,"Significant increase in volume has been observed in Sarda Energy & Minerals Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market place so that the interest of the investors is safeguarded, has written to the company. The",Spurt in Volume
13-Aug-2026 18:06:50,TRAVELFOOD,Outcome of Board Meeting,"Travel Food Services Limited has submitted to the Exchange, the Un-audited Financial Results for the quarter ended June 30, 2026",Outcome of Board Meeting
13-Aug-2026 18:06:18,UMIYA-MRO,Shareholders meeting,"UMIYA BUILDCON LIMITED has informed the Exchange regarding Proceedings of Annual General Meeting held on August 13, 2026",Shareholders meeting
13-Aug-2026 18:06:16,KNRCON,Outcome of Board Meeting,"KNR Constructions Limited has submitted to the Exchange, the financial results for the period ended Jun 30, 2026.",Outcome of Board Meeting
13-Aug-2026 18:06:15,MSTCLTD,Investor Presentation,Mstc Limited has informed the Exchange about Investor Presentation,Investor Presentation
13-Aug-2026 18:05:42,STYL,Copy of Newspaper Publication,Seshaasai Technologies Limited has informed the Exchange about Copy of Newspaper Publication,Copy of Newspaper Publication
13-Aug-2026 18:05:25,MANALIPETC,Record Date,Manali Petrochemicals Limited has informed the Exchange that Record date for the purpose of Dividend  is 21-Sep-2026.,Record Date
13-Aug-2026 18:05:21,AUROPHARMA,Analysts/Institutional Investor Meet/Con. Call Updates,Aurobindo Pharma Limited has informed the Exchange about Transcript,Analysts/Institutional Investor Meet/Con. Call Updates
13-Aug-2026 18:04:53,LINDEINDIA,Copy of Newspaper Publication,Linde India Limited has informed the Exchange about Copy of Newspaper Publication,Copy of Newspaper Publication
13-Aug-2026 18:04:52,VASCONEQ,Copy of Newspaper Publication,"Vascon Engineers Limited has informed the Exchange about Copy of Newspaper Publication of Unaudited Financial Results for the quarter ended June 30, 2026",Copy of Newspaper Publication
13-Aug-2026 18:04:29,MERCURYEV,General Updates,Mercury Ev-Tech Limited has informed the Exchange about General Updates appointment of Secretarial Auditor,General Updates
13-Aug-2026 18:04:18,CARRARO,Analysts/Institutional Investor Meet/Con. Call Updates,Carraro India Limited has informed the Exchange about Schedule of meet,Analysts/Institutional Investor Meet/Con. Call Updates
13-Aug-2026 18:04:13,VISHWARAJ,Outcome of Board Meeting,"Vishwaraj Sugar Industries Limited has submitted to the Exchange, the financial results for the period ended Jun 30, 2026.",Outcome of Board Meeting
13-Aug-2026 18:04:12,ISFT,Outcome of Board Meeting,"Intrasoft Technologies Limited has submitted to the Exchange, the financial results for the period ended Jun 30, 2026.",Outcome of Board Meeting
13-Aug-2026 18:04:12,CENTUM,Statement of deviation(s) or variation(s) under Reg. 32,Centum Electronics Limited has informed the Exchange about statement of deviation(s) or variation(s) under Reg. 32,Statement of deviation(s) or variation(s) under Reg. 32
13-Aug-2026 18:04:09,KAMOPAINTS,Outcome of Board Meeting,"Kamdhenu Ventures Limited has submitted to the Exchange, the financial results for the period ended Jun 30, 2026.",Outcome of Board Meeting
13-Aug-2026 18:04:05,SALONA,General Updates,"Salona Cotspin Limited has informed the Exchange about General Updates - Appointment of Shanmugam R M as Independent Director subject to Shareholder approval in the AGM, Date of AGM of the Company to be held on Sep 23, 2026.",General Updates
13-Aug-2026 18:03:42,ALICON,Dividend,"Alicon Castalloy Limited has informed the Exchange that Board of Directors at its meeting held on August 13, 2026, recommended Final Dividend of Rs. 3 per equity share.",Dividend
13-Aug-2026 18:03:18,SCILAL,Updates,Shipping Corporation Of India Land And Assets Limited has informed the Exchange regarding 'Intimation with respect to 05th Annual General Meeting to be held on 21.09.2026'.,Updates
13-Aug-2026 18:03:16,SHRADHA,Record Date,Shradha Realty Limited has informed the Exchange that Record date for the purpose of Dividend  is 21-Aug-2026.,Record Date
