identifier,instrument,underlying,expiry,option_type,strike,last_price,contracts_traded,turnover,open_interest,underlying_value,pct_change
OPTIDXNIFTY18-08-2026PE24400.00,Index Options,NIFTY,18-Aug-2026,Put,24400,100.85,2413660,195576.45614,74608,24435.95,6.381856540084388
OPTIDXNIFTY18-08-2026PE24300.00,Index Options,NIFTY,18-Aug-2026,Put,24300,64.75,2351426,144145.940939,86799,24435.95,2.696272799365583
OPTIDXNIFTY18-08-2026CE24400.00,Index Options,NIFTY,18-Aug-2026,Call,24400,147.6,2050696,182694.45594400002,92932,24435.95,-27.093109409730797
OPTIDXNIFTY18-08-2026CE24500.00,Index Options,NIFTY,18-Aug-2026,Call,24500,98.35,1988153,121023.8434925,137534,24435.95,-31.67766585620007
OPTIDXNIFTY18-08-2026PE24350.00,Index Options,NIFTY,18-Aug-2026,Put,24350,81.0,1600395,112774.2342675,35495,24435.95,3.9794608472400514
OPTIDXNIFTY18-08-2026PE24200.00,Index Options,NIFTY,18-Aug-2026,Put,24200,39.25,1337429,52559.622271,72393,24435.95,-4.151404151404152
OPTIDXNIFTY18-08-2026CE24300.00,Index Options,NIFTY,18-Aug-2026,Call,24300,211.0,1283886,149964.30423,36747,24435.95,-22.02512934220251
OPTIDXNIFTY18-08-2026PE24000.00,Index Options,NIFTY,18-Aug-2026,Put,24000,14.55,1229884,18594.616196,118354,24435.95,-15.652173913043478
OPTIDXNIFTY18-08-2026PE24250.00,Index Options,NIFTY,18-Aug-2026,Put,24250,50.1,1221009,62000.395002,37961,24435.95,-2.0527859237536656
OPTIDXNIFTY18-08-2026PE24500.00,Index Options,NIFTY,18-Aug-2026,Put,24500,150.25,1213594,135190.73081799998,47416,24435.95,9.83187134502924
OPTIDXNIFTY18-08-2026CE24600.00,Index Options,NIFTY,18-Aug-2026,Call,24600,60.3,1196117,45645.6188955,108901,24435.95,-37.86707882534776
OPTIDXNIFTY18-08-2026CE24450.00,Index Options,NIFTY,18-Aug-2026,Call,24450,121.1,1194468,91918.493238,48651,24435.95,-29.387755102040817
OPTIDXNIFTY18-08-2026PE24450.00,Index Options,NIFTY,18-Aug-2026,Put,24450,124.4,1129531,104380.52447549999,22315,24435.95,9.410729991204926
OPTIDXNIFTY18-08-2026CE24350.00,Index Options,NIFTY,18-Aug-2026,Call,24350,177.95,952776,97007.841216,22601,24435.95,-24.17980400511291
OPTIDXNIFTY18-08-2026CE24700.00,Index Options,NIFTY,18-Aug-2026,Call,24700,35.1,919907,20575.0999155,90397,24435.95,-42.126957955482276
OPTIDXNIFTY18-08-2026CE24800.00,Index Options,NIFTY,18-Aug-2026,Call,24800,19.4,839722,10752.64021,85538,24435.95,-46.48275862068966
OPTIDXNIFTY18-08-2026CE25000.00,Index Options,NIFTY,18-Aug-2026,Call,25000,6.45,824244,3712.807098,140576,24435.95,-45.79831932773109
OPTIDXNIFTY18-08-2026CE24550.00,Index Options,NIFTY,18-Aug-2026,Call,24550,77.9,794109,38537.315661,44019,24435.95,-34.427609427609426
OPTIDXNIFTY18-08-2026PE24100.00,Index Options,NIFTY,18-Aug-2026,Put,24100,23.65,765883,18653.463406500003,50810,24435.95,-10.416666666666666
OPTIDXNIFTY18-08-2026CE25200.00,Index Options,NIFTY,18-Aug-2026,Call,25200,2.4,748981,1494.5915855,66910,24435.95,-44.827586206896555
