symbol,swing_high_20d,swing_low_20d,swing_low_50d,base_high,base_low,base_length_days,breakout_20d_high,volume_20d_avg,volume_ratio_vs_20d,consolidation_atr_pct,pct_from_base_high,bars_available
20MICRONS,217.9,182.3,178.0,,,,False,189895.8,0.879,5.39,,4403
21STCENMGM,44.35,33.06,30.6,,,,False,9666.1,1.005,10.523,,2121
360ONE,1197.0,1065.0,1031.3,,,,False,1193292.35,0.326,4.088,,1710
3BBLACKBIO,1319.4,1188.0,1100.0,1319.4,1188.0,20.0,False,7468.75,1.267,2.807,-7.117,81
3IINFOLTD,27.8,18.07,16.25,,,,False,1757549.6,0.789,6.7,,5262
3MINDIA,36695.0,34485.0,31010.0,36695.0,34485.0,20.0,False,3351.7,1.205,2.646,-1.444,5988
3PLAND,34.5,31.2,30.0,34.5,31.2,20.0,False,6058.2,0.524,2.622,-6.29,4542
5PAISA,393.4,344.0,299.0,,,,False,49120.65,1.117,3.879,,2161
63MOONS,957.95,677.0,617.8,,,,False,1647960.9,0.635,5.259,,5222
A2ZINFRA,17.95,12.0,12.0,,,,False,562536.7,1.805,5.587,,3860
AAATECH,101.98,85.0,85.0,,,,False,27175.25,1.197,4.088,,1423
AADHARHFC,524.45,487.1,449.8,524.45,487.1,20.0,False,318381.9,2.973,2.724,-4.052,561
AAKASH,9.75,8.38,8.38,,,,False,117472.35,0.871,4.943,,2039
AAREYDRUGS,86.9,73.41,73.41,,,,False,46968.35,0.753,3.918,,1242
AARNAV,37.4,26.4,23.51,,,,False,153683.65,0.228,5.265,,114
AARON,154.8,111.15,111.15,,,,False,63901.15,0.2,5.467,,1951
AARTECH,51.4,44.85,39.98,,,,True,23022.9,3.463,3.16,,766
AARTIDRUGS,453.65,401.0,365.0,,,,False,232174.2,0.593,3.902,,5672
AARTIIND,541.7,469.0,424.0,,,,True,1623323.25,1.756,4.698,,5993
AARTIPHARM,932.6,650.8,604.15,,,,False,1218360.85,0.497,7.359,,876
AARTISURF,649.9,374.3,355.2,,,,True,96720.2,1.22,6.847,,1509
AARVI,164.9,145.66,127.06,164.9,145.66,20.0,False,49728.75,1.433,2.771,-6.137,2187
AASTHA,140.01,70.0,70.0,,,,False,6065744.3,0.052,11.11,,29
AATMAJ,19.95,16.7,16.7,,,,False,3600.0,0.0,8.835,,772
AAVAS,1544.9,1346.2,1247.6,,,,False,85406.85,0.64,4.75,,1942
ABAN,20.11,14.21,12.89,,,,False,54504.2,0.095,8.704,,5959
ABANSENT,28.94,25.05,25.05,28.94,25.05,20.0,False,6979.25,1.324,2.707,0.0,81
ABB,7894.5,7085.0,6653.0,,,,False,341322.65,0.384,3.899,,5993
ABBOTINDIA,28940.0,27330.0,25200.0,,,,False,10501.95,3.246,3.533,,5963
ABCAPITAL,430.7,384.35,334.8,,,,False,4033701.7,0.585,4.095,,2214
ABCOTS,218.0,196.81,196.81,,,,False,14868.7,0.29,4.705,,1125
ABDL,655.0,580.0,560.0,,,,False,332014.45,1.131,3.217,,528
ABFRL,64.1,55.1,55.1,,,,False,7394872.25,0.474,3.685,,3227
ABINFRA,11.5,9.78,8.82,,,,False,2261930.0,2.065,3.948,,1742
ABLBL,97.4,89.72,89.72,,,,False,898132.8,3.884,3.658,,286
ABMINTLLTD,69.37,39.15,39.15,,,,True,5335.95,3.004,6.146,,2502
ABMKNO,203.99,182.5,182.5,203.99,182.5,20.0,False,1454.15,0.589,2.415,-1.976,81
ABREL,1471.2,1359.1,1155.0,1471.2,1359.1,20.0,False,133453.7,4.871,2.491,-5.261,7685
ABSLAMC,1167.3,973.3,973.3,,,,False,350410.05,0.576,7.289,,1200
ABSMARINE,231.0,212.9,212.9,231.0,212.9,20.0,False,32200.0,1.848,2.52,-3.506,555
ACC,1413.9,1312.0,1297.0,,,,False,210957.6,0.475,3.519,,5990
ACCELYA,1180.0,1120.0,1085.9,1180.0,1120.0,20.0,False,7776.5,0.59,2.797,-3.907,5990
ACCENTMIC,563.5,486.0,433.05,,,,False,73775.0,0.576,4.371,,656
ACCORD,211.0,198.35,64.35,,,,False,1600.0,0.0,44.275,,1996
ACCURACY,5.1,4.6,4.6,5.1,4.6,20.0,False,52501.6,0.853,2.545,-6.863,2000
ACE,1149.0,957.8,862.0,,,,False,780914.6,0.343,4.789,,4906
ACEINTEG,20.5,17.15,17.15,,,,False,4829.95,2.966,3.655,,2244
ACI,604.25,504.3,504.3,,,,False,342420.9,0.275,5.786,,924
ACL,49.9,45.0,45.0,49.9,45.0,20.0,False,17710.6,0.626,2.614,-7.655,3890
ACMESOLAR,397.5,344.7,327.0,,,,False,1901430.35,0.358,4.039,,436
ACSTECH,53.56,39.15,31.71,,,,False,335650.5,1.453,5.797,,81
ACUTAAS,3700.0,3025.0,2960.2,,,,False,375213.25,0.857,4.755,,1219
ADANIENSOL,1789.0,1570.2,1460.8,,,,False,2020096.55,1.643,4.771,,2727
ADANIENT,3213.5,2932.8,2886.2,,,,False,1058819.05,1.23,4.548,,5992
ADANIGREEN,1558.7,1314.0,1314.0,,,,False,2487767.9,0.668,6.707,,2017
ADANIPORTS,1857.4,1640.4,1640.4,,,,False,2235101.25,0.891,5.959,,4616
ADANIPOWER,222.5,204.11,204.11,,,,False,19342307.8,0.7,4.196,,4193
ADFFOODS,319.6,255.85,255.85,,,,False,207141.2,0.46,5.267,,3929
ADL,82.85,66.0,66.0,,,,False,990.35,0.211,3.764,,1452
ADOR,1597.0,1341.0,1092.6,,,,False,76961.8,0.311,4.295,,5990
ADROITINFO,10.99,8.66,8.36,,,,False,38483.7,2.108,3.419,,2676
ADSL,121.7,111.51,111.51,,,,False,139873.9,0.465,3.322,,4702
ADVAIT,2442.0,2050.0,2050.0,,,,False,57315.1,0.924,3.673,,142
ADVANCE,141.5,106.92,93.77,,,,False,684871.25,0.471,4.888,,212
ADVANIHOTR,53.52,49.75,49.75,53.52,49.75,20.0,False,30966.5,3.438,2.648,-3.886,4723
ADVENTHTL,154.35,140.0,120.02,,,,False,127748.15,0.447,3.22,,189
ADVENZYMES,343.0,291.05,291.05,,,,False,333866.1,0.478,4.03,,2482
AEGISLOG,1497.8,1222.3,750.2,,,,False,1433290.9,0.462,3.751,,5987
AEGISVOPAK,306.55,262.4,182.5,,,,False,1700752.3,0.236,3.332,,302
AEPL,17.42,13.3,13.3,,,,False,90111.85,0.24,3.833,,106
AEQUS,256.55,215.0,173.6,,,,False,3100649.2,1.356,4.224,,170
AEROENTER,135.97,115.3,95.25,,,,False,534420.05,0.728,3.077,,924
AEROFLEX,471.95,398.15,392.3,,,,False,1454526.95,0.705,3.257,,731
AERONEU,93.45,82.51,82.51,,,,False,55670.3,1.058,3.106,,886
AEROPLANE,206.9,175.21,117.2,,,,False,598257.9,1.359,3.037,,94
AETHER,1645.0,1400.2,1105.5,,,,False,381600.6,0.572,4.05,,1040
AFCONS,313.7,259.1,259.1,,,,False,2393192.95,0.169,5.621,,443
AFFLE,1720.1,1419.1,1390.5,,,,False,503809.9,0.163,4.129,,1737
AFFORDABLE,213.1,173.0,162.6,,,,False,14633.0,0.78,5.209,,448
AFIL,10.73,8.8,8.8,,,,False,857503.85,0.643,4.408,,532
AFSL,223.0,201.0,200.0,,,,False,22118.75,0.587,5.514,,899
AGARIND,551.25,471.1,446.0,,,,False,246975.75,0.136,3.721,,3016
AGARWALEYE,567.75,470.0,437.0,,,,False,2581099.1,0.369,3.839,,377
AGARWALFT,39.45,35.3,28.55,,,,False,2625.0,0.0,7.308,,854
AGI,743.95,657.5,586.8,,,,False,130427.95,1.145,3.99,,5992
AGIIL,351.0,295.4,295.4,,,,False,1785042.6,0.346,5.434,,520
AGL,15.9,12.03,12.03,,,,False,4507205.0,0.805,4.994,,30
AGNI,18.0,16.25,16.25,,,,False,6875.0,2.909,3.889,,997
AGRITECH,115.4,104.5,104.5,115.4,104.5,20.0,False,2651.1,0.217,2.57,-6.75,3094
AGROPHOS,30.25,27.11,27.11,30.25,27.11,20.0,False,14076.15,0.541,2.702,-6.645,2329
AGSTRA,2.32,1.97,1.97,,,,False,153900.95,0.937,4.667,,1123
AGUL,65.7,53.65,49.6,,,,False,2000.0,0.0,6.735,,818
AHCL,16.19,13.81,13.67,,,,False,3896020.95,0.336,4.078,,237
AHIMSA,25.9,24.7,24.7,,,,True,6900.0,0.0,14.0,,2310
AHLADA,42.0,35.7,35.7,,,,False,11258.8,0.596,3.615,,1937
AHLEAST,159.0,140.21,138.25,,,,False,3657.0,0.057,4.502,,3951
AHLUCONT,872.0,790.1,769.55,,,,False,28278.5,0.512,4.034,,4117
AHLWEST,575.0,511.05,511.05,575.0,511.05,20.0,False,682.55,0.741,2.732,-5.217,3956
AIAENG,4885.8999,4366.0,4290.5,,,,False,58555.05,1.788,3.357,,5099
AIIL,607.7,511.15,445.0,,,,False,691522.25,0.361,4.225,,576
AILIMITED,43.7,34.15,32.3,,,,False,2550.0,1.176,10.569,,1261
AIMTRON,1738.0,1267.05,1180.5,,,,False,53830.0,0.476,6.417,,543
AIRAN,15.89,14.82,14.82,,,,False,36519.5,0.814,3.359,,2239
AIROLAM,94.5,84.25,78.37,94.5,84.25,20.0,False,2421.15,4.505,2.977,-3.979,2187
AISL,62.25,54.0,50.2,,,,False,12180.0,3.99,6.031,,2155
AJANTPHARM,3675.0,3301.0,2900.0,,,,True,110661.45,1.236,4.002,,5989
AJAXENGG,620.45,554.55,512.05,,,,False,57534.9,0.479,4.077,,369
AJMERA,132.62,115.57,111.01,,,,False,369492.4,0.602,4.087,,4906
AJOONI,4.3,3.75,3.4,,,,False,272930.15,0.557,3.889,,2125
AKASH,28.0,26.0,25.61,28.0,26.0,20.0,False,6422.9,0.494,2.262,-6.321,2327
AKCAPIT,1847.9,1621.4,1621.4,,,,False,3182.95,0.707,3.066,,81
AKG,10.89,8.06,8.06,,,,False,66706.25,0.304,3.541,,1938
AKI,5.0,4.0,4.0,5.0,4.0,20.0,False,153493.0,0.334,2.823,-15.4,829
AKIKO,368.0,293.0,241.3,,,,False,32000.0,0.675,3.982,,526
AKSHAR,0.47,0.39,0.39,,,,False,902850.1,1.166,3.394,,1048
AKSHARCHEM,296.12,223.25,200.0,,,,True,5872.05,1.806,4.22,,2319
AKSHOPTFBR,6.99,5.34,5.34,,,,False,167490.2,1.72,5.923,,5989
AKUMS,775.0,650.25,542.85,,,,False,370378.5,0.777,5.141,,502
ALANKIT,8.9,7.62,7.62,,,,False,104017.3,0.634,3.749,,2748
ALBERTDAVD,857.9,678.0,678.0,,,,False,20216.45,0.622,5.961,,2513
ALEMBICLTD,92.17,83.0,83.0,,,,False,241834.6,0.749,4.107,,5997
ALGOQUANT,70.97,62.72,52.11,,,,False,1372455.9,1.428,3.11,,151
ALICON,782.0,618.05,618.05,,,,False,40361.9,1.309,4.242,,4900
ALIVUS,1418.0,1086.1,996.4,,,,False,162013.6,0.47,5.877,,1243
ALKALI,87.0,65.01,65.01,,,,False,6468.15,1.139,7.408,,4382
ALKEM,5882.5,5406.0,5175.5,,,,False,92296.45,0.358,4.06,,2630
ALKYLAMINE,1998.9,1764.9,1661.3,,,,False,144952.3,0.244,3.305,,4617
ALLCARGO,10.79,7.75,7.75,,,,False,26830325.7,1.203,5.178,,4972
ALLDIGI,893.9,750.0,750.0,,,,False,18847.45,0.29,5.259,,5249
ALLETEC,144.2,129.5,129.5,144.2,129.5,20.0,False,12480.0,2.179,2.717,-8.842,899
ALLTIME,249.48,212.21,212.21,,,,False,57574.65,0.403,5.68,,249
ALMONDZ,15.79,12.35,12.35,,,,False,281353.4,0.345,3.081,,4481
ALOKINDS,12.79,11.7,11.7,,,,False,2910895.4,0.812,6.549,,7684
ALPA,72.5,65.0,65.0,72.5,65.0,20.0,False,14380.25,2.105,2.77,-9.172,4692
ALPEXSOLAR,919.5,782.0,763.05,,,,False,36345.0,0.982,5.351,,615
ALPHAGEO,315.0,195.27,190.0,,,,False,70628.2,0.875,5.372,,4754
ALPINETEX,105.0,60.0,60.0,,,,False,305223.22,0.786,12.266,,18
ALUWIND,52.7,44.0,40.0,,,,False,15825.0,0.0,4.588,,582
AMAGI,727.4,551.0,396.85,,,,False,1098928.95,11.898,4.719,,141
AMANTA,173.14,153.27,128.15,,,,False,32033.8,2.147,6.074,,230
AMBALALSA,49.98,30.15,30.15,,,,False,363781.6,1.908,5.75,,81
AMBER,8058.5,6951.0,6951.0,,,,False,265273.55,2.306,5.803,,2111
AMBICAAGAR,25.5,23.6,23.1,25.5,23.6,20.0,False,2779.95,0.527,2.177,-2.392,5467
AMBIKCO,1931.0,1582.0,1556.1,,,,False,27490.7,0.313,4.885,,4572
AMBUJACEM,450.5,415.45,404.8,,,,False,2693953.75,0.783,3.317,,5991
AMDIND,61.41,43.1,43.1,,,,True,45175.25,7.957,5.97,,4788
AMEYA,115.85,102.85,101.3,,,,False,2850.0,1.404,6.107,,971
AMIABLE,78.95,59.55,59.55,,,,False,640.0,0.0,8.609,,926
AMJLAND,41.0,36.3,35.0,41.0,36.3,20.0,False,14201.9,0.495,2.659,-4.878,5991
AMNPLST,218.48,190.5,185.0,,,,False,17689.45,0.465,3.076,,682
AMRUTANJAN,551.9,482.8,482.8,,,,False,64672.2,1.516,4.212,,4144
ANANDRATHI,2230.0,2002.1,1710.6,,,,False,214524.2,1.036,5.02,,1157
ANANTRAJ,641.7,561.0,510.3,,,,False,2808141.0,0.764,4.052,,4905
ANDHRAPAP,65.25,59.27,59.27,,,,False,284944.3,0.235,3.171,,7686
ANDHRSUGAR,105.57,80.61,75.6,,,,False,1245052.1,0.816,5.921,,5991
ANGELONE,337.4,285.25,285.25,,,,False,5353833.6,0.371,7.137,,1453
ANIKINDS,46.3,39.13,39.13,46.3,39.13,20.0,False,6650.25,0.136,2.375,-12.268,4498
ANKITMETAL,1.63,1.41,1.38,1.63,1.41,20.0,False,32541.85,0.215,2.567,-6.135,3309
ANLON,700.95,588.0,588.0,,,,False,7760.0,3.144,4.299,,885
ANMOL,10.94,9.55,9.55,,,,False,29913.95,0.611,3.338,,1287
ANNAPURNA,168.75,120.75,120.75,,,,False,92987.75,1.138,4.791,,958
ANSALAPI,3.64,2.78,2.51,,,,False,21397.6,0.653,11.467,,5069
ANTELOPUS,919.3,787.2,721.25,,,,False,170534.6,0.443,3.071,,4906
ANTGRAPHIC,0.83,0.71,0.71,0.83,0.71,20.0,False,147031.0,1.219,2.847,-10.843,5990
ANTHEM,899.9,732.0,732.0,,,,False,953407.85,0.469,6.381,,267
ANUHPHR,81.75,76.75,75.12,81.75,76.75,20.0,False,46051.1,0.73,2.571,-5.823,410
ANUP,2296.3999,1841.0,1786.2,,,,False,57281.35,0.278,4.918,,1842
ANURAS,1274.0,1194.7,1194.7,,,,False,205893.9,0.671,4.686,,1334
APARINDS,18465.0,13282.0,13208.0,,,,False,181639.0,0.979,6.476,,5462
APCL,109.95,98.02,98.02,109.95,98.02,20.0,False,6330.0,3.291,2.728,-8.131,2311
APCOTEXIND,712.0,524.0,491.1,,,,False,653895.3,0.224,5.121,,5958
APEX,414.0,362.25,362.25,,,,False,76910.45,0.867,4.95,,2212
APLAPOLLO,2073.0,1789.2,1743.7,,,,True,687057.8,1.202,4.933,,3621
