symbol,yf_ticker,reason,bars,updated_at
BAGMANE.RR,BAGMANE.RR.NS,exception_no_yahoo_data,0,2026-07-26T19:40:01
BAJAJ_AUTO,BAJAJ_AUTO.NS,exception_no_yahoo_data,0,2026-07-26T19:39:02
BALAJIPHOS,BALAJIPHOS.NS,exception_no_yahoo_data,0,2026-07-26T19:59:40
BALCO,BALCO.NS,exception_no_yahoo_data,0,2026-07-26T20:13:18
BARFLEX,BARFLEX.NS,exception_no_yahoo_data,0,2026-07-26T20:03:28
BHADORA,BHADORA.NS,exception_no_yahoo_data,0,2026-07-26T20:02:03
BIKEWO,BIKEWO.NS,exception_no_yahoo_data,0,2026-07-26T20:07:18
BIOPOL,BIOPOL.NS,exception_no_yahoo_data,0,2026-07-26T20:05:15
BIRET.RR,BIRET.RR.NS,exception_no_yahoo_data,0,2026-07-26T19:40:18
BLUEWATER,BLUEWATER.NS,exception_no_yahoo_data,0,2026-07-26T19:54:08
BMLL,BMLL.NS,exception_no_yahoo_data,0,2026-07-26T20:13:30
BOSCH_HCIL,BOSCH_HCIL.NS,exception_no_yahoo_data,0,2026-07-26T19:45:15
BOSS,BOSS.NS,exception_no_yahoo_data,0,2026-07-26T20:12:51
BRACEPORT,BRACEPORT.NS,exception_no_yahoo_data,0,2026-07-26T20:08:02
BRANDMAN,BRANDMAN.NS,exception_no_yahoo_data,0,2026-07-26T19:56:03
BULKCORP,BULKCORP.NS,exception_no_yahoo_data,0,2026-07-26T20:10:33
C2C,C2C.NS,exception_no_yahoo_data,0,2026-07-26T19:54:00
CAPINVIT,CAPINVIT.NS,exception_no_yahoo_data,0,2026-07-26T20:13:57
CEDAAR,CEDAAR.NS,exception_no_yahoo_data,0,2026-07-26T20:12:03
CHAMUNDA,CHAMUNDA.NS,exception_no_yahoo_data,0,2026-07-26T20:09:51
CHANDAN,CHANDAN.NS,exception_no_yahoo_data,0,2026-07-26T19:53:19
CHETANA,CHETANA.NS,exception_no_yahoo_data,0,2026-07-26T20:05:46
CKKRETAIL,CKKRETAIL.NS,exception_no_yahoo_data,0,2026-07-26T19:58:24
CLASSICEIL,CLASSICEIL.NS,exception_no_yahoo_data,0,2026-07-26T20:05:10
CLAYCRAFT,CLAYCRAFT.NS,exception_no_yahoo_data,0,2026-07-26T19:55:48
