symbol,sector,industry,nifty_sector_index,sector_match_basis,perf_1w,perf_1m,nifty_1w,nifty_1m,sector_1m,rs_vs_nifty_1w,rs_vs_nifty_1m,rs_vs_sector_1m
RELIGARE,Finance,Multi-Line Insurance,NIFTY_FIN_SERVICE,industry,-7.905060808160064,-9.91941673062165,-0.97,1.32,1.89,-6.94,-11.24,-11.81
GAEL,Consumer Non-Durables,Food: Specialty/Candy,NIFTY_FMCG,industry,-2.312040700960997,14.648709613215694,-0.97,1.32,-1.63,-1.34,13.33,16.28
POWERMECH,Industrial Services,Engineering & Construction,NIFTY_INFRA,industry,-5.94544897333743,-5.281432043516843,-0.97,1.32,-0.98,-4.98,-6.6,-4.3
GMRP&UI,Industrial Services,Engineering & Construction,NIFTY_INFRA,industry,-0.7768578145763111,-2.9105821164232952,-0.97,1.32,-0.98,0.19,-4.23,-1.93
IMFA,Non-Energy Minerals,Other Metals/Minerals,NIFTY_METAL,industry,-6.801592568015925,-1.4385964912280702,-0.97,1.32,-4.41,-5.83,-2.76,2.97
TANLA,Technology Services,Information Technology Services,NIFTY_IT,industry,-4.2680921052631655,6.798165137614671,-0.97,1.32,10.24,-3.3,5.48,-3.44
ICIL,Process Industries,Textiles,,unmapped,-9.773186082413025,-6.243830207305037,-0.97,1.32,,-8.8,-7.56,
NEWGEN,Technology Services,Packaged Software,NIFTY_IT,industry,-1.345746151719065,-3.5591998558298794,-0.97,1.32,10.24,-0.38,-4.88,-13.8
SJS,Producer Manufacturing,Auto Parts: OEM,NIFTY_AUTO,industry,3.68474923234391,17.007022731472922,-0.97,1.32,1.4,4.65,15.69,15.61
CERA,Consumer Durables,Home Furnishings,NIFTY_AUTO,sector,-6.7936507936507935,-4.302477183833116,-0.97,1.32,1.4,-5.82,-5.62,-5.7
SFL,Process Industries,Industrial Specialties,,unmapped,0.7122302158273447,-13.168341396849025,-0.97,1.32,,1.68,-14.49,
TTML,Communications,Specialty Telecommunications,,unmapped,-2.3285244241963925,-4.997538158542575,-0.97,1.32,,-1.36,-6.32,
IXIGO,Technology Services,Internet Software/Services,NIFTY_IT,industry,-11.209183673469388,-15.92753623188406,-0.97,1.32,10.24,-10.24,-17.25,-26.17
ETHOSLTD,Retail Trade,Catalog/Specialty Distribution,NIFTY_FMCG,sector,-2.729686670207113,3.09193245778612,-0.97,1.32,-1.63,-1.76,1.77,4.72
SAPPHIRE,Consumer Services,Restaurants,NIFTY_FMCG,sector,17.831325301204824,27.316120633543058,-0.97,1.32,-1.63,18.8,26.0,28.95
INOXGREEN,Utilities,Alternative Power Generation,NIFTY_ENERGY,industry,8.572257690075439,0.101669520547944,-0.97,1.32,-2.39,9.54,-1.22,2.49
SANOFI,Health Technology,Pharmaceuticals: Major,NIFTY_PHARMA,industry,-2.9943164822016124,-3.5482719647849543,-0.97,1.32,3.01,-2.02,-4.87,-6.56
SMLMAH,Consumer Durables,Motor Vehicles,NIFTY_AUTO,industry,-9.54016913319239,25.69155446756426,-0.97,1.32,1.4,-8.57,24.37,24.29
ORKLAINDIA,Consumer Non-Durables,Food: Specialty/Candy,NIFTY_FMCG,industry,-2.344790833999475,-6.853608946119967,-0.97,1.32,-1.63,-1.37,-8.17,-5.22
