symbol,close,rsi,adx,tech_rating,perf_1m,above_sma200,score
M&M,3428.3,59.67127493935217,34.42177426904265,Buy,10.99132349132349,True,6
MENONBE,229.68,59.93180585381772,50.63878280420556,Buy,26.33663366336633,True,6
INDOBORAX,425.35,52.979823747139456,26.006455910138836,Buy,-13.37949292332756,True,6
ORTEL,2.19,69.45763730452879,45.05258005722192,Buy,29.585798816568047,True,6
BAJAJ_AUTO,11700.0,66.40677363130969,56.31007992049801,Buy,14.705882352941176,True,6
BAJAJFINSV,2008.3,57.41947773202765,29.42606650021097,Buy,7.109333333333331,True,6
ETERNAL,318.5,64.97265003780811,37.26787393888892,Strong buy,11.75438596491228,True,6
JFLLIFE,13.2,61.58800751254766,47.11702285383488,Buy,31.999999999999996,True,6
GREENLEAF,125.2,69.14566780985169,31.55730821897373,Strong buy,14.494741655235492,True,6
SHEETAL,326.6,61.95812993990101,34.638042706919286,Buy,10.711864406779668,True,6
UYFINCORP,21.08,67.83844611966138,34.89246250845625,Strong buy,26.30317555422407,True,6
SHOPERSTOP,424.35,68.19124095792071,44.55568753241088,Buy,14.011284255776474,True,6
MPSLTD,2808.7,63.17619157196194,66.52532456885145,Buy,40.36481759120439,True,6
BAJAJHLDNG,11475.0,62.82862134787182,27.93684344808086,Buy,9.494274809160306,True,6
HYUNDAI,2199.0,63.91950453499306,39.44675680702364,Buy,10.225563909774436,True,6
ABB,7649.0,59.30584374751939,33.83607533327981,Buy,10.21613832853026,True,6
TECHM,1632.8,61.36091016435659,26.656006342487544,Buy,11.438711438711431,True,6
EXCELINDUS,1013.65,56.656004197454855,27.944607978695192,Buy,13.510638297872338,True,6
VMARCIND,365.8,66.97626214076122,34.35453115540073,Buy,28.802816901408452,True,6
SHARDAMOTR,898.25,54.36792408299943,27.56281197883261,Strong buy,4.326364692218351,True,6
APEXECO,290.0,66.91526305959852,30.541344572183128,Strong buy,5.454545454545454,True,6
ALLCARGO,10.0,65.47789447278262,32.65940097309109,Buy,25.156445556946174,True,6
BIRLANU,1555.2,59.966293351853245,39.71239635242773,Buy,22.736958408965368,True,6
TIJARIA,6.03,68.28905271462006,29.07940347531804,Buy,34.59821428571428,True,6
IDEA,14.11,65.1201366511819,32.45061279098923,Strong buy,1.510791366906468,True,6
