identifier,instrument,underlying,expiry,option_type,strike,last_price,contracts_traded,turnover,open_interest,underlying_value,pct_change
OPTIDXNIFTY25-08-2026PE24200.00,Index Options,NIFTY,25-Aug-2026,Put,24200,66.2,8307507,280307.7474405,188745,24219.05,45.494505494505496
OPTIDXNIFTY25-08-2026CE24300.00,Index Options,NIFTY,25-Aug-2026,Call,24300,26.3,6936175,192964.3885,332664,24219.05,-63.74913852515507
OPTIDXNIFTY25-08-2026CE24200.00,Index Options,NIFTY,25-Aug-2026,Call,24200,57.25,5973736,287957.970144,254530,24219.05,-56.857573474001505
OPTIDXNIFTY25-08-2026PE24150.00,Index Options,NIFTY,25-Aug-2026,Put,24150,43.15,5925684,141857.91211799998,111143,24219.05,33.591331269349844
OPTIDXNIFTY25-08-2026PE24300.00,Index Options,NIFTY,25-Aug-2026,Put,24300,135.45,5526027,283653.7289235,95352,24219.05,59.446733372572105
OPTIDXNIFTY25-08-2026PE24250.00,Index Options,NIFTY,25-Aug-2026,Put,24250,97.35,5155005,210393.7965675,48115,24219.05,54.769475357710654
OPTIDXNIFTY25-08-2026CE24250.00,Index Options,NIFTY,25-Aug-2026,Call,24250,38.95,4787770,180249.96496,194260,24219.05,-60.91319618665329
OPTIDXNIFTY25-08-2026PE24100.00,Index Options,NIFTY,25-Aug-2026,Put,24100,25.3,4705240,69150.55966,140659,24219.05,10.239651416122005
OPTIDXNIFTY25-08-2026PE24000.00,Index Options,NIFTY,25-Aug-2026,Put,24000,8.7,3797281,22658.375727,250314,24219.05,-26.89075630252101
OPTIDXNIFTY25-08-2026CE24350.00,Index Options,NIFTY,25-Aug-2026,Call,24350,17.55,3686528,67789.720128,148304,24219.05,-65.24752475247524
OPTIDXNIFTY25-08-2026CE24400.00,Index Options,NIFTY,25-Aug-2026,Call,24400,11.15,3425429,35913.9103505,200915,24219.05,-67.10914454277287
OPTIDXNIFTY25-08-2026PE24050.00,Index Options,NIFTY,25-Aug-2026,Put,24050,14.55,2668285,24784.3652225,75762,24219.05,-11.009174311926605
OPTIDXNIFTY25-08-2026CE24500.00,Index Options,NIFTY,25-Aug-2026,Call,24500,5.85,2595532,10240.671506,250577,24219.05,-57.9136690647482
OPTIDXNIFTY25-08-2026CE24150.00,Index Options,NIFTY,25-Aug-2026,Call,24150,83.95,2299989,145657.1533755,69329,24219.05,-50.38416075650118
OPTIDXNIFTY25-08-2026CE24450.00,Index Options,NIFTY,25-Aug-2026,Call,24450,7.8,2113814,13135.240195999999,115768,24219.05,-64.13793103448276
OPTIDXNIFTY25-08-2026CE24600.00,Index Options,NIFTY,25-Aug-2026,Call,24600,3.7,1980006,3758.0513880000003,155714,24219.05,-35.65217391304348
OPTIDXNIFTY25-08-2026PE23900.00,Index Options,NIFTY,25-Aug-2026,Put,23900,3.35,1850394,4835.079522,93326,24219.05,-48.46153846153846
OPTIDXNIFTY25-08-2026PE24350.00,Index Options,NIFTY,25-Aug-2026,Put,24350,176.2,1717413,115382.67499200001,27457,24219.05,55.31070956368444
OPTIDXNIFTY25-08-2026CE24700.00,Index Options,NIFTY,25-Aug-2026,Call,24700,2.65,1553258,2130.293347,136060,24219.05,-15.873015873015873
OPTIDXNIFTY25-08-2026PE23950.00,Index Options,NIFTY,25-Aug-2026,Put,23950,5.2,1545645,6108.38904,54802,24219.05,-39.884393063583815
