index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,25-Aug-2026,24334.55,2362671,2559511,1.08,24300,0.36
BANKNIFTY,25-Aug-2026,57514.2,731636,637866,0.87,57500,0.44
