index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,07-Jul-2026,24270.85,2668843,2659623,1.0,24200,7.52
BANKNIFTY,28-Jul-2026,57938.5,408621,347274,0.85,58100,13.04
