date,symbol,subject,details,category
05-Jul-2026 10:07:19,ICICIPRULI,General Updates,"ICICI Prudential Life Insurance Company Limited has informed the Exchange about disclosure under Regulation 30, 30A and 51 of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015",General Updates
05-Jul-2026 10:04:51,ICICIPRULI,Agreements,"ICICI Prudential Life Insurance Company Limited has informed the Exchange about disclosure under Regulation 30, 30A and 51 of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015.",Agreements
05-Jul-2026 00:02:41,PIRAMALFIN,Amalgamation/Merger,Piramal Finance Limited has informed the Exchange about Filing of Company Petition in Company Scheme Application No. C.A. CAA84MB2026 with the Honorable NCLT seeking sanction of the Scheme.,Amalgamation/Merger
04-Jul-2026 23:45:21,SANDHAR,Copy of Newspaper Publication,Sandhar Technologies Limited has informed the Exchange about Copy of Newspaper Publication of Postal Ballot Notice Intimation to shareholders,Copy of Newspaper Publication
04-Jul-2026 23:31:47,UNIENTER,Copy of Newspaper Publication,Uniphos Enterprises Limited has informed the Exchange about Copy of Newspaper Publication,Copy of Newspaper Publication
04-Jul-2026 22:35:36,ICICIBANK,General Updates,"ICICI Bank Limited has informed the Exchange about Disclosure under Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 (Listing Regulations)",General Updates
04-Jul-2026 22:21:37,MAGADSUGAR,Copy of Newspaper Publication,Magadh Sugar & Energy Limited has informed the Exchange about Copy of Newspaper Publication,Copy of Newspaper Publication
04-Jul-2026 22:09:21,CUBEXTUB,Updates,Cubex Tubings Limited has informed the Exchange regarding 'NOT A LARGE BODY CORPORATE'.,Updates
04-Jul-2026 22:07:46,HECPROJECT,Bagging/Receiving of orders/contracts,HEC Infra Projects Limited has informed the Exchange about Bagging/Receiving of orders/contracts,Bagging/Receiving of orders/contracts
04-Jul-2026 21:26:14,INTELLECT,Copy of Newspaper Publication,Intellect Design Arena Limited has informed the Exchange about Copy of Newspaper Publication,Copy of Newspaper Publication
04-Jul-2026 21:23:18,ABSLAMC,Updates,Aditya Birla Sun Life AMC Limited has informed the Exchange regarding 'letters dispatched to the Shareholders whose email ids are not registered with the Company/RTA/Depositories'.,Updates
04-Jul-2026 21:01:01,ASTEC,Change in Director(s),Astec LifeSciences Limited has informed the Exchange regarding Change in Director(s) of the company.,Change in Director(s)
04-Jul-2026 20:53:45,ASTEC,Shareholders meeting,"Astec LifeSciences Limited has informed the Exchange regarding Proceedings of Postal Ballot. Further, the company has submitted the Exchange a copy of Srutinizers report along with voting results.",Shareholders meeting
04-Jul-2026 20:42:37,ASTEC,Updates,Astec LifeSciences Limited has informed the Exchange regarding 'Scrutinizers report'.,Updates
04-Jul-2026 20:38:18,MAXHEALTH,General Updates,Max Healthcare Institute Limited has informed the Exchange about communication to members - Second 100-Days Campaign - Saksham Niveshak,General Updates
04-Jul-2026 20:34:39,ASTEC,General Updates,Astec LifeSciences Limited has informed the Exchange about postal ballot.,General Updates
04-Jul-2026 20:27:57,CGPOWER,Press Release,"CG Power and Industrial Solutions Limited has informed the Exchange regarding a press release dated July 04, 2026, titled ""CG Semi commences commercial production at its G1 OSAT facility in Sanand, Gujarat"".",Press Release
04-Jul-2026 20:27:10,SJVN,Press Release,"SJVN Limited has informed the Exchange regarding a press release dated July 04, 2026, titled ""Hon'ble Prime Minister Inaugurates SJVN's 1000 MW Bikaner Solar Power Project"".",Press Release
04-Jul-2026 20:25:51,BAJAJHFL,Updates,Bajaj Housing Finance Limited has informed the Exchange regarding 'Business Responsibility and Sustainability Report for FY2026.'.,Updates
04-Jul-2026 20:25:43,PRABHA,Copy of Newspaper Publication,Prabha Energy Limited has informed the Exchange about Copy of Newspaper Publication,Copy of Newspaper Publication
