symbol,swing_high_20d,swing_low_20d,swing_low_50d,base_high,base_low,base_length_days,breakout_20d_high,volume_20d_avg,volume_ratio_vs_20d,consolidation_atr_pct,pct_from_base_high,bars_available
20MICRONS,233.53,193.86,182.0,,,,False,231675.35,0.616,4.249,,4426
21STCENMGM,46.49,37.36,30.6,,,,False,5450.0,0.035,8.284,,2144
360ONE,1222.9,1042.4,1042.4,,,,False,775337.75,0.819,6.209,,1734
3BBLACKBIO,1588.9,1099.5,1099.5,,,,False,22197.7,1.106,6.019,,105
3IINFOLTD,25.1,21.7,18.0,,,,True,256370.95,2.262,3.757,,5286
3MINDIA,35100.0,31500.0,31500.0,,,,False,3695.25,7.462,4.514,,6011
3PLAND,33.97,28.51,28.51,,,,False,3933.9,0.368,3.716,,4565
5PAISA,413.25,307.2,307.2,,,,False,50457.0,0.661,8.767,,2185
63MOONS,945.0,739.1,662.0,,,,False,419872.0,0.64,5.025,,5246
A2ZINFRA,17.12,14.06,12.0,,,,False,340085.9,0.752,4.019,,3883
AAATECH,98.4,90.81,85.0,98.4,90.81,20.0,False,31738.2,7.268,2.658,-5.955,1446
AADHARHFC,488.0,440.15,440.15,,,,False,327679.6,0.48,3.773,,584
AAKASH,9.98,8.06,8.06,,,,False,158108.55,0.381,4.233,,2062
AAREYDRUGS,101.29,74.6,73.41,,,,False,231940.3,2.084,5.846,,1265
AARNAV,36.9,28.32,24.5,,,,False,13423.2,1.051,4.782,,137
AARON,144.0,120.6,111.15,,,,False,11227.15,1.304,3.325,,1975
AARTECH,53.48,46.5,44.85,,,,False,82334.95,0.229,3.285,,789
AARTIDRUGS,444.0,409.8,386.9,444.0,409.8,20.0,False,146959.85,0.938,2.422,-4.437,5696
AARTIIND,551.75,459.55,459.55,,,,False,733206.95,0.711,6.183,,6017
AARTIPHARM,894.7,765.0,650.8,,,,False,413969.65,0.915,4.01,,900
AARTISURF,623.0,487.0,361.6,,,,False,19452.7,0.972,5.159,,1532
