index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,22-Sep-2026,23270.6,2275335,2264964,1.0,23300,11.99
BANKNIFTY,29-Sep-2026,56055.75,593152,489584,0.83,57100,14.6
