symbol,close,rsi,adx,tech_rating,perf_1m,above_sma200,score
IFCI,83.36,58.94023606196676,39.24298130549289,Buy,36.65573770491803,True,6
IIFL,537.8,65.1975984370577,27.444410487136768,Strong buy,16.4069264069264,True,6
ACMESOLAR,349.85,64.4952523865925,38.84409681086211,Strong buy,23.64375331330625,True,6
KIOCL,407.85,54.80412400481158,25.899984367401625,Strong buy,6.48825065274152,True,6
RBLBANK,378.5,69.54889840211251,28.73320396126134,Strong buy,15.045592705167174,True,6
CRAFTSMAN,9522.0,63.10263100241242,43.07105346244812,Buy,11.459674587381482,True,6
BEL,431.5,60.771985304470846,27.833766021302004,Buy,2.384624510618107,True,6
SOLARINDS,18441.0,62.0307241499149,28.22066973222966,Buy,0.2228260869565217,True,6
MOTHERSON,145.85,60.059794510296186,36.52646845140099,Buy,6.227239621267285,True,6
POLYCAB,10022.5,69.9090196234114,31.49397532280776,Buy,8.615551341099973,True,6
SHYAMMETL,960.8,53.19566108456584,34.15073884858618,Buy,3.20085929108485,True,6
LALPATHLAB,1671.8,63.13952585801046,26.910418971833224,Strong buy,0.1077844311377218,True,6
NETWEB,5111.1,66.8356204640134,28.796283115729427,Buy,33.623529411764714,True,6
IKS,1690.1,57.055180184080406,29.55628508077122,Strong buy,4.17283037475344,True,6
DATAPATTNS,4866.2,67.05009047714552,26.22446627692533,Buy,23.03919089759797,True,6
ADANIGREEN,1549.9,65.649432677611,37.71629892553264,Strong buy,13.62903225806452,True,6
ACUTAAS,3249.6,62.91948809928007,40.76051399591828,Buy,8.428428428428425,True,6
MTARTECH,8294.5,61.65367052620056,33.72737077562939,Buy,3.4226932668329177,True,6
IDEA,14.82,64.53324003495223,42.32426916225659,Buy,8.810572687224678,True,6
LAURUSLABS,1435.9,67.2077202726966,34.61470319285041,Buy,5.915763074426499,True,6
ATGL,733.4,56.95754178991496,32.309014124423825,Buy,14.925957846901198,True,6
YESBANK,24.96,66.78629827494294,28.5166039026066,Buy,15.555555555555552,True,6
PAGEIND,39320.0,57.20400272242161,25.10511343337921,Buy,-0.2536783358701167,True,6
ASTERDM,789.85,57.1176874987375,27.03638394849634,Buy,3.920794684560236,True,6
TATACOMM,2061.7,68.52317199809242,33.941487724429294,Strong buy,8.521949678913563,True,6
