index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,23-Jun-2026,24123.45,3470494,3224258,0.93,24100,13.61
BANKNIFTY,30-Jun-2026,57882.9,602096,632999,1.05,57000,12.52
