symbol,sector,industry,nifty_sector_index,sector_match_basis,perf_1w,perf_1m,nifty_1w,nifty_1m,sector_1m,rs_vs_nifty_1w,rs_vs_nifty_1m,rs_vs_sector_1m
RELIANCE,Energy Minerals,Oil Refining/Marketing,NIFTY_ENERGY,industry,-1.6923076923076923,-2.1214674121161097,-0.84,0.19,-2.39,-0.85,-2.31,0.27
BHARTIARTL,Communications,Wireless Telecommunications,,unmapped,-1.0323253388946796,0.3701353637901861,-0.84,0.19,,-0.19,0.18,
HDFCBANK,Finance,Major Banks,NIFTY_BANK,industry,-8.296296296296301,-3.906856403622257,-0.84,0.19,-1.03,-7.46,-4.1,-2.88
ICICIBANK,Finance,Regional Banks,NIFTY_BANK,industry,0.7594402643977345,6.884976876025674,-0.84,0.19,-1.03,1.6,6.69,7.91
SBIN,Finance,Regional Banks,NIFTY_BANK,industry,-1.5136813506695042,-0.87890625,-0.84,0.19,-1.03,-0.67,-1.07,0.15
TCS,Technology Services,Information Technology Services,NIFTY_IT,industry,1.3259618842143113,9.37894226103834,-0.84,0.19,5.63,2.17,9.19,3.75
BAJFINANCE,Finance,Finance/Rental/Leasing,NIFTY_FIN_SERVICE,industry,-3.0720643123744025,6.341873162536747,-0.84,0.19,1.89,-2.23,6.15,4.45
LICI,Finance,Life/Health Insurance,NIFTY_FIN_SERVICE,industry,-3.812785388127852,-4.271756418995685,-0.84,0.19,1.89,-2.97,-4.46,-6.16
LT,Industrial Services,Engineering & Construction,NIFTY_INFRA,industry,-0.0870965187785421,-9.359511552735546,-0.84,0.19,-0.98,0.75,-9.55,-8.38
HINDUNILVR,Consumer Non-Durables,Household/Personal Care,NIFTY_FMCG,industry,2.142857142857143,-0.6944444444444444,-0.84,0.19,-1.63,2.98,-0.88,0.94
SUNPHARMA,Health Technology,Pharmaceuticals: Major,NIFTY_PHARMA,industry,-0.3900035921383556,3.9132762312633775,-0.84,0.19,2.66,0.45,3.72,1.25
MARUTI,Consumer Durables,Motor Vehicles,NIFTY_AUTO,industry,-2.24,0.0148809523809523,-0.84,0.19,1.4,-1.4,-0.18,-1.39
INFY,Technology Services,Information Technology Services,NIFTY_IT,industry,-5.800904977375557,0.0,-0.84,0.19,5.63,-4.96,-0.19,-5.63
TITAN,Consumer Durables,Other Consumer Specialties,NIFTY_AUTO,sector,1.1024643320363166,8.716875871687588,-0.84,0.19,1.4,1.94,8.53,7.32
ADANIPOWER,Utilities,Electric Utilities,NIFTY_ENERGY,industry,-1.539170506912444,-7.3259596616786,-0.84,0.19,-2.39,-0.7,-7.52,-4.94
ADANIENT,Distribution Services,Wholesale Distributors,,unmapped,-4.10950223376952,1.2749723923300842,-0.84,0.19,,-3.27,1.08,
ADANIPORTS,Transportation,Other Transportation,,unmapped,-3.138694127957929,-0.9910414333706632,-0.84,0.19,,-2.3,-1.18,
M&M,Consumer Durables,Motor Vehicles,NIFTY_AUTO,industry,1.359410067329275,3.8567674113009223,-0.84,0.19,1.4,2.2,3.67,2.46
KOTAKBANK,Finance,Major Banks,NIFTY_BANK,industry,1.9205298013245036,-4.207643470683426,-0.84,0.19,-1.03,2.76,-4.4,-3.18
AXISBANK,Finance,Major Banks,NIFTY_BANK,industry,-6.09793420045907,-9.49115044247788,-0.84,0.19,-1.03,-5.26,-9.68,-8.46
ITC,Consumer Non-Durables,Tobacco,NIFTY_FMCG,industry,1.467692858421323,-2.258620689655176,-0.84,0.19,-1.63,2.31,-2.45,-0.63
ULTRACEMCO,Non-Energy Minerals,Construction Materials,NIFTY_INFRA,industry,0.6457094307561597,4.76695852127001,-0.84,0.19,-0.98,1.49,4.58,5.75
HCLTECH,Technology Services,Information Technology Services,NIFTY_IT,industry,6.11120387376858,15.79810495626823,-0.84,0.19,5.63,6.95,15.61,10.17
NTPC,Utilities,Electric Utilities,NIFTY_ENERGY,industry,1.3722627737226245,-4.313077029075385,-0.84,0.19,-2.39,2.21,-4.5,-1.92
ONGC,Energy Minerals,Oil Refining/Marketing,NIFTY_ENERGY,industry,1.0398050365556468,1.8047882136279916,-0.84,0.19,-2.39,1.88,1.61,4.19
BAJAJ_AUTO,Consumer Durables,Motor Vehicles,NIFTY_AUTO,industry,7.370248890603897,13.13275055905672,-0.84,0.19,1.4,8.21,12.94,11.73
HAL,Electronic Technology,Aerospace & Defense,NIFTY_IT,sector,3.099709190919543,1.8551925346874072,-0.84,0.19,5.63,3.94,1.67,-3.77
JSWSTEEL,Non-Energy Minerals,Steel,NIFTY_METAL,industry,1.621621621621618,0.0645161290322544,-0.84,0.19,-4.41,2.46,-0.13,4.47
BAJAJFINSV,Finance,Life/Health Insurance,NIFTY_FIN_SERVICE,industry,2.216775599128543,6.806670081384107,-0.84,0.19,1.89,3.06,6.62,4.92
