date,symbol,subject,details,category
27-Jul-2026 07:22:36,SIGMAADV,Press Release,"SIGMA ADVANCED SYSTEMS LIMITED has informed the Exchange regarding a press release dated July 27, 2026, titled ""Pursuant to Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirement) Regulations, 2015 - Press Release -  Sigma Advanced Systems Secures USD 104.9 Million (roughly INR 1,",Press Release
26-Jul-2026 23:54:08,ZENTEC,Investor Presentation,Zen Technologies Limited has informed the Exchange about Investor Presentation,Investor Presentation
26-Jul-2026 23:43:46,MANYAVAR,Copy of Newspaper Publication,"Vedant Fashions Limited has informed the exchange about the copies of newspaper publications in respect of financial results for the quarter ended June 30, 2026.",Copy of Newspaper Publication
26-Jul-2026 23:19:39,ZENTEC,Press Release,"Zen Technologies Limited has informed the Exchange regarding a press release dated July 26, 2026, titled ""Zen Technologies, India s leading anti-drone technology and defense training solutions provider announced its financial results for Q1FY27"".",Press Release
26-Jul-2026 23:15:24,ZENTEC,Copy of Newspaper Publication,Zen Technologies Limited has informed the Exchange about Copy of Newspaper Publication,Copy of Newspaper Publication
26-Jul-2026 23:09:55,ONESOURCE,Copy of Newspaper Publication,Onesource Specialty Pharma Limited has informed the Exchange about Copy of Newspaper Publication,Copy of Newspaper Publication
26-Jul-2026 22:51:17,ALLDIGI,Copy of Newspaper Publication,Alldigi Tech Limited has informed the Exchange about Copy of Newspaper Publication on Financial Results,Copy of Newspaper Publication
26-Jul-2026 22:47:49,ALLDIGI,Copy of Newspaper Publication,Alldigi Tech Limited has informed the Exchange about Copy of Newspaper Publication on Interim Dividend,Copy of Newspaper Publication
26-Jul-2026 22:18:59,SMCGLOBAL,Resignation of Director/KMP/SMP,Smc Global Securities Limited has informed the Exchange about Resignation of Director/KMP/SMP,Resignation of Director/KMP/SMP
26-Jul-2026 22:18:33,SMCGLOBAL,Resignation,"Smc Global Securities Limited has informed the Exchange regarding Resignation of Mr Mr. Nikhil Mehta as Other of the company w.e.f. May 30, 2026.",Resignation
26-Jul-2026 22:13:54,SMCGLOBAL,General Updates,Smc Global Securities Limited has informed the Exchange about General Updates,General Updates
26-Jul-2026 22:11:25,SMCGLOBAL,General Updates,Smc Global Securities Limited has informed the Exchange about General Updates,General Updates
26-Jul-2026 22:07:51,SMCGLOBAL,Issue of Securities,Smc Global Securities Limited has informed the Exchange about issue of Securities,Issue of Securities
26-Jul-2026 22:06:27,SMCGLOBAL,Outcome of Board Meeting,"Smc Global Securities Limited has informed the Exchange regarding Outcome of Board Meeting held on July 26, 2026.",Outcome of Board Meeting
26-Jul-2026 21:31:57,SMCGLOBAL,Outcome of Board Meeting,"Smc Global Securities Limited has submitted to the Exchange, the financial results for the period ended Jun 30, 2026.",Outcome of Board Meeting
26-Jul-2026 21:01:56,LINC,Updates,"Linc Limited has informed the Exchange regarding 'Unveiling of Product Experience Centre at Park Street, Kolkata'.",Updates
26-Jul-2026 20:01:56,LALPATHLAB,Change in Director(s),Dr. Lal Path Labs Ltd. has informed the Exchange regarding Change in Director(s) of the company.,Change in Director(s)
26-Jul-2026 19:14:03,CYIENT,Copy of Newspaper Publication,Cyient Limited has informed the Exchange about Copy of Newspaper Publication,Copy of Newspaper Publication
26-Jul-2026 19:10:56,DOLPHIN,Copy of Newspaper Publication,Dolphin Offshore Enterprises (India) Limited has informed the Exchange about Copy of Newspaper Publication,Copy of Newspaper Publication
26-Jul-2026 19:10:56,DOLPHIN,Copy of Newspaper Publication,Dolphin Offshore Enterprises (India) Limited has informed the Exchange about Copy of Newspaper Publication,Copy of Newspaper Publication
