index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,28-Jul-2026,23767.45,3101044,2558638,0.83,23900,28.18
BANKNIFTY,28-Jul-2026,56693.5,692174,555118,0.8,57200,34.42
