index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,07-Jul-2026,23993.0,1692412,2007396,1.19,24000,13.15
BANKNIFTY,28-Jul-2026,57833.5,335397,293699,0.88,58000,15.02
