symbol,fut_volume,opt_volume,tot_volume,fut_turnover,opt_turnover,tot_turnover,latest_oi,underlying_value
NIFTY,15129,14000076,14015205,236742.7573225,21928204298955.5,1127638.5518775,6432850,23998.6
BANKNIFTY,7452,526279,533731,129845.32389,922580907034.8,222327.194238,757590,57829.6
MCX,11861,65575,77436,78127.62768,45140418902.25,92198.3042025,73236,2977.0
MARUTI,9153,146563,155716,65847.25436,108451336999.0,83715.27435,130649,14322.0
KPITTECH,12906,92463,105369,56484.3416625,44932234651.75,73179.29068,44760,570.65
M&M,7623,61263,68886,47685.95022,39640099798.0,56848.7882,144725,3163.0
RELIANCE,6964,59821,66785,45620.47995,40390957675.0,52870.0067,423014,1307.0
HDFCBANK,8174,36145,44319,42714.172995,19440542816.5,46873.24616,659538,798.15
TATAELXSI,8147,42548,50695,36621.47565,20526635436.25,43189.4550125,44652,3633.2
ETERNAL,5785,22680,28465,37965.4801425,15479598845.25,42784.13047,113462,270.2
INFY,8192,53677,61869,32946.81072,22856619764.0,38540.60836,475408,997.8
ADANIPORTS,3588,19764,23352,31454.5492575,17696397436.25,35026.70862,64482,1847.9
TITAN,3225,32679,35904,25297.44805,26357558743.25,30522.8104825,68525,4468.9
BAJFINANCE,3481,14720,18201,26403.950025,11359802002.5,28831.79505,128587,1015.3
DABUR,4705,29046,33751,25464.928375,16428659650.0,28536.274875,36591,431.85
BSE,3024,19001,22025,23751.15232,15420429156.0,28259.14388,67681,3918.8
DMART,4077,13168,17245,25971.45624,8698584922.5,27990.930465,27671,4260.3
HINDUNILVR,3696,24607,28303,24132.15939,16476722097.0,27157.98036,81782,2164.5
KOTAKBANK,2956,15084,18040,23479.349,12314862440.0,26148.2234,117893,394.85
TCS,4821,34973,39794,22052.7429525,16875754974.0,26063.4026925,363243,2036.0
ICICIBANK,2423,15773,18196,23422.14,15522352986.0,26040.90986,220872,1375.3
BIOCON,2267,6659,8926,24224.527,7335054025.0,25887.44225,23624,420.75
LAURUSLABS,1821,5982,7803,23359.54411,7886706512.5,25361.279235,27037,1486.6
