identifier,instrument,underlying,expiry,option_type,strike,last_price,contracts_traded,turnover,open_interest,underlying_value,pct_change
OPTIDXNIFTY21-07-2026CE24300.00,Index Options,NIFTY,21-Jul-2026,Call,24300,141.95,5668872,364681.370196,94067,24334.3,207.9175704989154
OPTIDXNIFTY21-07-2026PE24200.00,Index Options,NIFTY,21-Jul-2026,Put,24200,74.0,4929936,369794.49936,191699,24334.3,-61.468367612600886
OPTIDXNIFTY21-07-2026CE24200.00,Index Options,NIFTY,21-Jul-2026,Call,24200,204.85,4716521,428161.05985900003,77920,24334.3,166.38491547464238
OPTIDXNIFTY21-07-2026CE24250.00,Index Options,NIFTY,21-Jul-2026,Call,24250,171.95,4288204,326647.507394,43830,24334.3,185.3941908713693
OPTIDXNIFTY21-07-2026CE24500.00,Index Options,NIFTY,21-Jul-2026,Call,24500,51.5,3729193,81106.218557,101847,24334.3,247.97297297297297
OPTIDXNIFTY21-07-2026CE24400.00,Index Options,NIFTY,21-Jul-2026,Call,24400,89.7,3426358,136634.591145,85083,24334.3,240.41745730550284
OPTIDXNIFTY21-07-2026PE24100.00,Index Options,NIFTY,21-Jul-2026,Put,24100,49.9,3197697,164970.7870785,157558,24334.3,-63.28182487122884
OPTIDXNIFTY21-07-2026PE24250.00,Index Options,NIFTY,21-Jul-2026,Put,24250,91.0,3083771,272645.44542299997,88210,24334.3,-59.4293357111012
OPTIDXNIFTY21-07-2026PE24300.00,Index Options,NIFTY,21-Jul-2026,Put,24300,110.7,3072474,309611.668743,103865,24334.3,-57.55368098159509
OPTIDXNIFTY21-07-2026CE24350.00,Index Options,NIFTY,21-Jul-2026,Call,24350,115.3,2923719,154142.8512585,51698,24334.3,226.62889518413598
OPTIDXNIFTY21-07-2026PE24000.00,Index Options,NIFTY,21-Jul-2026,Put,24000,33.5,2894237,97204.3967635,193588,24334.3,-63.427947598253276
OPTIDXNIFTY21-07-2026PE24150.00,Index Options,NIFTY,21-Jul-2026,Put,24150,60.6,2411778,151043.626695,126181,24334.3,-62.5
OPTIDXNIFTY21-07-2026CE24600.00,Index Options,NIFTY,21-Jul-2026,Call,24600,26.4,2325867,27394.061525999998,104890,24334.3,223.92638036809817
OPTIDXNIFTY21-07-2026CE25000.00,Index Options,NIFTY,21-Jul-2026,Call,25000,2.1,2076956,3105.04922,157883,24334.3,2.4390243902439024
OPTIDXNIFTY21-07-2026CE24700.00,Index Options,NIFTY,21-Jul-2026,Call,24700,12.95,2012664,12153.471564000001,127646,24334.3,156.43564356435644
OPTIDXNIFTY21-07-2026CE24450.00,Index Options,NIFTY,21-Jul-2026,Call,24450,69.3,1808255,54160.85376,38482,24334.3,251.7766497461929
OPTIDXNIFTY21-07-2026CE24150.00,Index Options,NIFTY,21-Jul-2026,Call,24150,250.0,1770857,188589.187072,31232,24334.3,158.1311306143521
OPTIDXNIFTY21-07-2026CE24800.00,Index Options,NIFTY,21-Jul-2026,Call,24800,5.45,1750353,5916.19314,122050,24334.3,53.521126760563384
OPTIDXNIFTY21-07-2026CE24900.00,Index Options,NIFTY,21-Jul-2026,Call,24900,2.95,1706106,3360.1757669999997,51084,24334.3,15.686274509803921
OPTIDXNIFTY21-07-2026CE24550.00,Index Options,NIFTY,21-Jul-2026,Call,24550,37.0,1585154,25779.359502,40272,24334.3,234.84162895927602
