index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,22-Sep-2026,23217.6,1870281,1754409,0.94,23300,12.86
BANKNIFTY,29-Sep-2026,56292.45,567999,488757,0.86,57300,13.17
