symbol,swing_high_20d,swing_low_20d,swing_low_50d,base_high,base_low,base_length_days,breakout_20d_high,volume_20d_avg,volume_ratio_vs_20d,consolidation_atr_pct,pct_from_base_high,bars_available
20MICRONS,233.53,193.86,182.0,,,,False,228482.85,0.345,4.384,,4426
21STCENMGM,46.49,37.36,30.6,,,,False,5441.0,0.002,8.719,,2144
360ONE,1222.9,1044.0,1044.0,,,,False,747115.15,0.095,6.181,,1734
3BBLACKBIO,1588.9,1099.5,1099.5,,,,False,21454.25,0.451,6.019,,105
3IINFOLTD,25.0,21.7,18.0,,,,False,235900.8,0.723,3.935,,5286
3MINDIA,35100.0,31500.0,31500.0,,,,False,3117.0,5.136,4.514,,6011
3PLAND,33.97,28.51,28.51,,,,False,3862.5,0.005,3.936,,4565
5PAISA,413.25,307.2,307.2,,,,False,49085.35,0.121,8.888,,2185
63MOONS,945.0,739.1,662.0,,,,False,413911.4,0.361,5.025,,5246
A2ZINFRA,17.12,14.06,12.0,,,,False,329689.25,0.145,4.263,,3883
AAATECH,98.4,90.81,85.0,98.4,90.81,20.0,False,20315.25,0.108,2.739,-7.215,1446
AADHARHFC,488.0,440.15,440.15,,,,False,320978.75,0.073,3.955,,584
AAKASH,9.98,8.06,8.06,,,,False,156091.65,0.127,4.246,,2062
AAREYDRUGS,101.29,74.6,73.41,,,,False,209826.35,0.196,5.846,,1265
AARNAV,36.9,28.32,24.5,,,,False,12809.05,0.142,5.079,,137
AARON,144.0,120.6,111.15,,,,False,10748.3,0.471,3.455,,1975
AARTECH,53.48,46.5,44.85,,,,False,81809.3,0.102,3.359,,789
AARTIDRUGS,444.0,407.2,382.0,444.0,407.2,20.0,False,149539.65,0.375,2.521,-6.295,5695
AARTIIND,551.75,459.55,459.55,,,,False,719699.1,0.349,6.192,,6017
AARTIPHARM,894.7,765.0,650.8,,,,False,400652.25,0.28,4.231,,900
AARTISURF,623.0,487.0,361.6,,,,False,19071.5,0.592,5.159,,1532
AARVI,161.0,139.61,138.0,,,,False,22823.35,0.182,4.083,,2210
AASTHA,88.37,71.72,70.0,,,,False,860702.9,0.245,3.409,,52
AATMAJ,20.5,18.05,16.7,,,,False,2600.0,1.538,6.929,,793
AAVAS,1407.9,1234.2,1234.2,,,,False,133454.45,0.253,4.649,,1965
