identifier,instrument,underlying,expiry,option_type,strike,last_price,contracts_traded,turnover,open_interest,underlying_value,pct_change
OPTIDXNIFTY22-09-2026PE23200.00,Index Options,NIFTY,22-Sep-2026,Put,23200,137.7,1537668,149083.063272,180552,23242.25,-20.404624277456648
OPTIDXNIFTY22-09-2026CE23200.00,Index Options,NIFTY,22-Sep-2026,Call,23200,201.8,1039671,127277.56349100001,113423,23242.25,20.54958183990442
OPTIDXNIFTY22-09-2026PE23000.00,Index Options,NIFTY,22-Sep-2026,Put,23000,77.6,843485,45791.11368,137626,23242.25,-22.32232232232232
OPTIDXNIFTY22-09-2026PE23100.00,Index Options,NIFTY,22-Sep-2026,Put,23100,103.65,801901,59400.014674,102946,23242.25,-21.65532879818594
OPTIDXNIFTY22-09-2026CE23300.00,Index Options,NIFTY,22-Sep-2026,Call,23300,145.3,791531,70274.8925385,103071,23242.25,21.947125472093997
OPTIDXNIFTY22-09-2026PE23150.00,Index Options,NIFTY,22-Sep-2026,Put,23150,119.7,736295,63714.9196775,75763,23242.25,-21.32763720013145
OPTIDXNIFTY22-09-2026CE23250.00,Index Options,NIFTY,22-Sep-2026,Call,23250,172.8,719129,76308.5760125,59013,23242.25,22.379603399433428
OPTIDXNIFTY22-09-2026PE23250.00,Index Options,NIFTY,22-Sep-2026,Put,23250,157.85,686944,75023.21507199999,63751,23242.25,-20.096178182738548
OPTIDXNIFTY22-09-2026CE23400.00,Index Options,NIFTY,22-Sep-2026,Call,23400,99.45,655686,39678.83829,118202,23242.25,24.079850280723644
OPTIDXNIFTY22-09-2026CE23500.00,Index Options,NIFTY,22-Sep-2026,Call,23500,64.5,590978,23159.541353,118714,23242.25,21.69811320754717
OPTIDXNIFTY22-09-2026PE23300.00,Index Options,NIFTY,22-Sep-2026,Put,23300,180.75,546619,68381.490281,72899,23242.25,-19.199821189092535
OPTIDXNIFTY22-09-2026CE23600.00,Index Options,NIFTY,22-Sep-2026,Call,23600,39.6,420815,10194.4537825,96880,23242.25,16.642120765832107
OPTIDXNIFTY22-09-2026PE23050.00,Index Options,NIFTY,22-Sep-2026,Put,23050,89.6,377297,23913.6498055,41844,23242.25,-22.357019064124785
OPTIDXNIFTY22-09-2026CE23350.00,Index Options,NIFTY,22-Sep-2026,Call,23350,120.7,360661,26612.453868,37220,23242.25,21.857647652700656
OPTIDXNIFTY22-09-2026PE22800.00,Index Options,NIFTY,22-Sep-2026,Put,22800,42.85,350094,10119.642117000001,88337,23242.25,-23.34525939177102
OPTIDXNIFTY22-09-2026CE23700.00,Index Options,NIFTY,22-Sep-2026,Call,23700,23.5,335733,4883.907951,82089,23242.25,13.25301204819277
OPTIDXNIFTY22-09-2026CE23800.00,Index Options,NIFTY,22-Sep-2026,Call,23800,13.9,331004,2887.347892,95058,23242.25,8.171206225680933
OPTIDXNIFTY22-09-2026CE23450.00,Index Options,NIFTY,22-Sep-2026,Call,23450,80.3,309607,15244.2746625,42560,23242.25,21.943811693242218
OPTIDXNIFTY22-09-2026PE22900.00,Index Options,NIFTY,22-Sep-2026,Put,22900,57.25,309313,12270.2920535,58105,23242.25,-23.308774279973207
OPTIDXNIFTY22-09-2026PE22500.00,Index Options,NIFTY,22-Sep-2026,Put,22500,17.9,302139,3511.4594580000003,91512,23242.25,-25.571725571725572
