index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,08-Sep-2026,23897.7,2960091,2499286,0.84,24000,10.75
BANKNIFTY,29-Sep-2026,57369.65,430695,444316,1.03,57500,11.03
