index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,11-Aug-2026,24554.05,1989085,1830625,0.92,24600,20.01
BANKNIFTY,25-Aug-2026,58063.65,411435,398508,0.97,58000,11.01
