index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,21-Jul-2026,24167.1,2927222,3060941,1.05,24200,14.5
BANKNIFTY,28-Jul-2026,57587.75,556360,496696,0.89,58000,16.67
