date,symbol,subject,details,category
02-Jul-2026 09:54:50,IRISDOREME,Press Release,"Iris Clothings Limited has informed the Exchange regarding a press release dated July 02, 2026, titled ""IRIS Clothings Expands Its Footprints in the Growing Newborn Gift Segment"".",Press Release
02-Jul-2026 09:51:36,PUNJABCHEM,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Punjab Chemicals & Crop Protection Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018","Certificate under SEBI (Depositories and Participants) Regulations, 2018"
02-Jul-2026 09:51:20,INGERRAND,Record Date,Ingersoll Rand (India) Limited has informed the Exchange that Record date for the purpose of Final Dividend  is 13-Jul-2026.,Record Date
02-Jul-2026 09:35:48,SUZLON,Analysts/Institutional Investor Meet/Con. Call Updates,Suzlon Energy Limited has informed the Exchange about Schedule of meet,Analysts/Institutional Investor Meet/Con. Call Updates
02-Jul-2026 09:27:45,GKENERGY,Awarding of order(s)/contract(s),GK Energy Limited has informed the Exchange that Company has received an allotment of 10 MW of Rooftop Solar Projects.,Awarding of order(s)/contract(s)
02-Jul-2026 09:18:46,YUKEN,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Yuken India Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018","Certificate under SEBI (Depositories and Participants) Regulations, 2018"
02-Jul-2026 09:14:37,JTEKTINDIA,Spurt in Volume,"Significant increase in volume has been observed in Jtekt India Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market place so that the interest of the investors is safeguarded, had written to the company. Jtekt India Lim",Spurt in Volume
02-Jul-2026 09:00:10,TVSMOTOR,Monthly Business Updates,TVS Motor Company Limited has informed the Exchange regarding Monthly Business Updates for the month of June 2026,Monthly Business Updates
02-Jul-2026 08:53:03,BAJAJ-AUTO,Press Release,"Bajaj Auto Limited has informed the Exchange regarding a press release dated July 02, 2026, titled ""Sales for the month of June 2026"".",Press Release
02-Jul-2026 08:35:50,GLENMARK,Press Release,"Glenmark Pharmaceuticals Limited has informed the Exchange regarding a press release dated July 02, 2026, titled ""Glenmark Advances Multi-Country Phase 3 Clinical Trial of Trastuzumab rezetecan in Platinum-Resistant Ovarian Cancer"".",Press Release
02-Jul-2026 08:26:25,SUNDRMBRAK,Updates,"Sundaram Brake Linings Limited has informed the Exchange regarding ''.Pursuant to Regulation 34(1) of Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 ( SEBI Listing Regulations ), we are submitting herewith the Annual Report 2025-26 containi",Updates
02-Jul-2026 08:23:57,ADANIPORTS,Monthly Business Updates,Adani Ports and Special Economic Zone Limited has informed the Exchange regarding Monthly Business Updates for the month of June 2026,Monthly Business Updates
02-Jul-2026 08:19:19,ESAFSFB,General Updates,"ESAF Small Finance Bank Limited has informed the Exchange about Key Business Updates for the Quarter ended June 30, 2026.",General Updates
02-Jul-2026 08:06:33,JTLIND,General Updates,JTL INDUSTRIES LIMITED has informed the Exchange about General Updates,General Updates
02-Jul-2026 07:04:03,PRSMJOHNSN,General Updates,"Prism Johnson Limited has informed the Exchange about General Updates-Update on sale by the Company of its shareholding in Raheja QBE General Insurance Company Limited, a material unlisted subsidiary of the Company, to QBE Holdings (AAP) Pty Limited",General Updates
01-Jul-2026 23:55:38,POONAWALLA,Updates,Poonawalla Fincorp Limited has informed the Exchange regarding 'Notice of Annual General Meeting and Annual Report for the Financial Year 2025-26. '.,Updates
01-Jul-2026 23:54:16,DEEDEV,General Updates,DEE Development Engineers Limited has informed the Exchange about receipt of In-Principle approval for listing of specified securities from stock exchange(s),General Updates
01-Jul-2026 23:50:42,POONAWALLA,Updates,Poonawalla Fincorp Limited has informed the Exchange regarding 'Business Responsibility and Sustainability Report for the financial year 2025-26'.,Updates
01-Jul-2026 23:41:49,POONAWALLA,Shareholders meeting,"Poonawalla Fincorp Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on July 24, 2026",Shareholders meeting
01-Jul-2026 23:39:05,POONAWALLA,Updates,"Poonawalla Fincorp Limited has informed the Exchange regarding 'Register of Members & Share Transfer Books of the Company will remain closed from Saturday, July 18, 2026 to Friday, July 24, 2026 for the purpose of Annual General Meeting'.",Updates
