index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,07-Jul-2026,24100.55,1923389,2394340,1.24,24100,11.04
BANKNIFTY,28-Jul-2026,58155.8,355168,321300,0.9,58100,13.82
