symbol,close,score,perf_1m,rs_vs_nifty_1m,rs_vs_sector_1m,deliv_pct,pct_change_oi,upside_to_target_pct,atr,stop_1_5atr,target_5pct,earnings_within_21d,event_risk_score,tech_rating,sector
URBANCO,174.21,14,14.657101487429255,18.47,21.05,44.75,,5.6,7.489963567417042,162.98,182.92,False,0,Buy,Technology Services
MANBA,136.41,14,3.482020937642242,7.29,3.48,44.62,,12.89,4.558711821499775,129.57,143.23,False,0,Buy,Finance
ALMONDZ,18.65,14,37.63837638376382,41.45,37.64,78.25,,7.24,1.2112972966802222,16.83,19.58,False,0,Buy,Finance
APARINDS,18233.0,14,9.179640718562874,12.99,15.57,45.81,,5.66,834.7113491295141,16980.93,19144.65,False,0,Buy,Electronic Technology
MMP,461.3,14,13.341523341523343,17.15,13.34,52.42,,7.96,27.708884828717743,419.74,484.36,False,0,Buy,Non-Energy Minerals
CASTROLIND,195.61,14,3.733361616375893,7.54,3.73,61.41,,12.88,2.8398644953990413,191.35,205.39,False,0,Buy,Energy Minerals
SHARDAMOTR,985.75,14,6.867953165654816,10.68,6.87,45.43,,35.94,31.269472051804133,938.85,1035.04,False,0,Strong buy,Producer Manufacturing
LUMAXTECH,2116.4,14,3.0480085694809573,6.86,3.05,45.45,,15.02,79.74834626665871,1996.78,2222.22,False,0,Strong buy,Producer Manufacturing
ARCHIDPLY,107.68,14,13.34736842105264,17.16,13.35,78.32,,15.88,4.996263390025817,100.19,113.06,False,0,Buy,Producer Manufacturing
ORIENTCER,48.08,14,0.6068215107763113,4.42,0.61,54.43,,17.8,2.36421376103766,44.53,50.48,False,0,Strong buy,Non-Energy Minerals
MANKIND,2480.0,14,3.9832285115303994,7.79,1.89,43.18,-1.04,11.31,58.33398831692829,2392.5,2604.0,False,0,Strong buy,Health Technology
SUDEEPPHRM,1197.1,14,7.094292359992839,10.9,5.0,52.31,,15.11,61.95312446318536,1104.17,1256.96,False,0,Buy,Health Technology
NIBL,33.08,14,0.608272506082712,4.42,0.61,53.9,,23.34,2.1316872493090666,29.88,34.73,False,0,Strong buy,Producer Manufacturing
PVP,65.35,13,47.51693002257336,51.33,53.91,45.65,,10.02,3.90316709860225,59.5,68.62,False,0,Buy,Technology Services
BHAGERIA,345.25,13,66.78743961352657,70.6,,58.85,,6.65,17.36365531817674,319.2,362.51,False,0,Buy,Process Industries
SETL,402.55,13,31.897116644823075,35.71,29.81,42.15,,16.3,19.637708474137572,373.09,422.68,False,0,Buy,Health Technology
ASIANHOTNR,385.1,13,28.281145902731527,32.09,28.28,53.95,,10.05,22.851190841932187,350.82,404.36,False,0,Buy,Consumer Services
HLEGLAS,445.75,13,42.96023091725464,46.77,42.96,49.15,,48.5,24.98642609847153,408.27,468.04,False,2,Buy,Producer Manufacturing
CARRARO,542.3,13,2.5335602193231197,6.34,2.53,41.45,,23.1,17.869377050377004,515.5,569.42,False,0,Buy,Producer Manufacturing
GREENPLY,296.65,13,4.032965106084517,7.84,4.03,69.55,,25.69,9.99875470667812,281.65,311.48,False,0,Strong buy,Producer Manufacturing
