index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,22-Sep-2026,23329.0,3132271,2697726,0.86,23350,0.58
BANKNIFTY,29-Sep-2026,56215.55,568699,522001,0.92,57000,15.69
