date,symbol,subject,details,category
22-Sep-2026 00:18:28,MAYURUNIQ,Change in Director(s),Mayur Uniquoters Ltd has informed the Exchange regarding Change in Director(s) of the company.,Change in Director(s)
22-Sep-2026 00:13:36,DEEDEV,Analysts/Institutional Investor Meet/Con. Call Updates,"DEE Development Engineers Limited has informed the Exchange about plant visit, Anjar, Gujarat",Analysts/Institutional Investor Meet/Con. Call Updates
21-Sep-2026 23:47:44,PERSISTENT,Analysts/Institutional Investor Meet/Con. Call Updates,Persistent Systems Limited has informed the Exchange about Presentation,Analysts/Institutional Investor Meet/Con. Call Updates
21-Sep-2026 23:40:28,ANURAS,Allotment of Securities,"Anupam Rasayan India Limited has informed the Exchange regarding allotment of 14500 securities pursuant to Non Convertible Securities at its meeting held on September 21, 2026",Allotment of Securities
21-Sep-2026 23:29:59,WELENT,Credit Rating,Welspun Enterprises Limited has informed the Exchange about Credit Rating,Credit Rating
21-Sep-2026 23:24:11,SYNGENE,Resignation of Director/KMP/SMP,Syngene International Limited has informed the Exchange about Resignation of Director/KMP/SMP,Resignation of Director/KMP/SMP
21-Sep-2026 23:08:13,CONSOFINVT,Shareholders meeting,"Consolidated Finvest & Holdings Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on September 21, 2026",Shareholders meeting
21-Sep-2026 23:06:00,CMSINFO,Change in Director(s),CMS Info Systems Limited has informed the Exchange regarding Change in Director(s) of the company.,Change in Director(s)
21-Sep-2026 22:56:45,MEESHO,ESOP/ESOS/ESPS,Meesho Limited has informed the Exchange regarding Allotment of 1071542  Shares.,ESOP/ESOS/ESPS
21-Sep-2026 22:52:43,CMSINFO,Shareholders meeting,"Please find enclosed herewith the Voting Results along with consolidated Scrutinizer Report for 19th Annual General Meeting of the Company held today i.e. Monday, September 21, 2026, at 3:30 P.M. (IST)",Shareholders meeting
21-Sep-2026 22:52:38,ESDS,Trading Window,"ESDS Software Solution Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015",Trading Window
21-Sep-2026 22:52:28,NTPCGREEN,General Updates,"NTPC Green Energy Limited has informed the Exchange about Declaration of Commercial Operation of NTPC Renewable Energy Limited, a wholly owned subsidiary w.e.f. 00:00 hrs of 22.09.2026",General Updates
21-Sep-2026 22:50:57,SYNGENE,Resignation,"Syngene International Limited has informed the Exchange regarding Resignation of Mr. Pramuch Goel as Head Corporate Affairs & Communications and a member of Executive Committee (Senior Management Personnel) of the company w.e.f. close of business hours of September 21, 2026.",Resignation
21-Sep-2026 22:50:04,THOMASCOOK,Credit Rating,Thomas Cook  (India)  Limited has informed the Exchange about Credit Rating,Credit Rating
21-Sep-2026 22:48:53,YESBANK,Allotment of Securities,Intimation of allotment of equity shares pursuant to exercise of stock options under YBL ESOS 2020 Scheme and YBL RSU Plan 2024,Allotment of Securities
21-Sep-2026 22:48:11,NATCOPHARM,Updates,Natco Pharma Limited has informed the Exchange regarding 'Intimation regarding receipt of In-Principle Approval for the Rights Issue '.,Updates
21-Sep-2026 22:36:11,SUDARSCHEM,Appointment,"Sudarshan Chemical Industries Limited has informed the Exchange regarding Appointment of Mr Amit Deshpande as General Counsel forming part of Senior Management Personnel of the company w.e.f. September 21, 2026.",Appointment
21-Sep-2026 22:31:36,PNBHOUSING,Analysts/Institutional Investor Meet/Con. Call Updates,PNB Housing Finance Limited has informed the Exchange about Analysts or institutional investors meet - Outcome,Analysts/Institutional Investor Meet/Con. Call Updates
21-Sep-2026 22:31:36,ALKYLAMINE,Shareholders meeting,"Alkyl Amines Chemicals Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot. Further, the company has informed the Exchange regarding voting results.",Shareholders meeting
21-Sep-2026 22:30:01,NUVAMA,ESOP/ESOS/ESPS,"Nuvama Wealth Management Limited has informed the Exchange regarding Allotment of 66,583  Shares.",ESOP/ESOS/ESPS
