index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,11-Aug-2026,24471.7,2841598,2127372,0.75,24450,0.98
BANKNIFTY,25-Aug-2026,57446.25,490398,402163,0.82,57800,11.47
