index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,01-Sep-2026,24090.85,2847898,1688865,0.59,24200,11.83
BANKNIFTY,29-Sep-2026,57509.95,358525,392940,1.1,57800,9.23
