index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,01-Sep-2026,24207.75,1964608,1440488,0.73,24300,12.69
BANKNIFTY,29-Sep-2026,57783.75,329347,377072,1.14,57800,9.54
