identifier,instrument,underlying,expiry,option_type,strike,last_price,contracts_traded,turnover,open_interest,underlying_value,pct_change
OPTIDXNIFTY25-08-2026PE24200.00,Index Options,NIFTY,25-Aug-2026,Put,24200,58.0,3030619,121582.373042,204446,24231.85,-64.47166921898928
OPTIDXNIFTY25-08-2026CE24200.00,Index Options,NIFTY,25-Aug-2026,Call,24200,150.3,2311365,219618.968205,129363,24231.85,86.94029850746269
OPTIDXNIFTY25-08-2026CE24300.00,Index Options,NIFTY,25-Aug-2026,Call,24300,92.25,1907612,114385.18455,150552,24231.85,89.03688524590164
OPTIDXNIFTY25-08-2026PE24250.00,Index Options,NIFTY,25-Aug-2026,Put,24250,76.05,1633659,83368.0692585,76577,24231.85,-61.1791730474732
OPTIDXNIFTY25-08-2026CE24250.00,Index Options,NIFTY,25-Aug-2026,Call,24250,119.0,1627325,124699.4737625,64163,24231.85,87.84530386740332
OPTIDXNIFTY25-08-2026PE24300.00,Index Options,NIFTY,25-Aug-2026,Put,24300,98.0,1448371,94756.0517475,115035,24231.85,-57.70392749244713
OPTIDXNIFTY25-08-2026CE24500.00,Index Options,NIFTY,25-Aug-2026,Call,24500,23.1,1340280,21979.92186,192533,24231.85,33.91304347826087
OPTIDXNIFTY25-08-2026CE24400.00,Index Options,NIFTY,25-Aug-2026,Call,24400,49.45,1157875,38180.3491875,126472,24231.85,70.51724137931035
OPTIDXNIFTY25-08-2026PE24000.00,Index Options,NIFTY,25-Aug-2026,Put,24000,19.2,1144062,15207.444135,251506,24231.85,-72.37410071942446
OPTIDXNIFTY25-08-2026CE25000.00,Index Options,NIFTY,25-Aug-2026,Call,25000,1.45,986702,1289.126163,183448,24231.85,-51.666666666666664
OPTIDXNIFTY25-08-2026PE24100.00,Index Options,NIFTY,25-Aug-2026,Put,24100,32.85,955764,22371.090066,117268,24231.85,-69.89000916590284
OPTIDXNIFTY25-08-2026PE24150.00,Index Options,NIFTY,25-Aug-2026,Put,24150,43.85,911666,28100.281118000003,71570,24231.85,-67.32488822652758
OPTIDXNIFTY25-08-2026CE24800.00,Index Options,NIFTY,25-Aug-2026,Call,24800,2.5,905259,1994.7382065000002,106323,24231.85,-46.808510638297875
OPTIDXNIFTY25-08-2026CE24350.00,Index Options,NIFTY,25-Aug-2026,Call,24350,68.75,842015,38207.6936475,46993,24231.85,81.87830687830687
OPTIDXNIFTY25-08-2026CE24600.00,Index Options,NIFTY,25-Aug-2026,Call,24600,9.8,800828,6298.51222,126641,24231.85,-3.4482758620689653
OPTIDXNIFTY25-08-2026CE24900.00,Index Options,NIFTY,25-Aug-2026,Call,24900,1.7,767529,1227.278871,50992,24231.85,-54.054054054054056
OPTIDXNIFTY25-08-2026PE23500.00,Index Options,NIFTY,25-Aug-2026,Put,23500,3.5,699983,1765.3571259999999,147189,24231.85,-49.27536231884058
OPTIDXNIFTY25-08-2026CE24700.00,Index Options,NIFTY,25-Aug-2026,Call,24700,4.35,681926,2579.726058,116250,24231.85,-33.587786259541986
OPTIDXNIFTY25-08-2026CE24100.00,Index Options,NIFTY,25-Aug-2026,Call,24100,225.0,662625,92037.6185625,47042,24231.85,78.85532591414945
OPTIDXNIFTY25-08-2026PE23800.00,Index Options,NIFTY,25-Aug-2026,Put,23800,7.2,636890,3142.096815,124392,24231.85,-71.48514851485149
