index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,25-Aug-2026,24078.3,3051894,2143608,0.7,24200,9.25
BANKNIFTY,25-Aug-2026,57239.75,640743,453604,0.71,57500,11.87
