identifier,instrument,underlying,expiry,option_type,strike,last_price,contracts_traded,turnover,open_interest,underlying_value,pct_change
OPTIDXNIFTY15-09-2026PE23400.00,Index Options,NIFTY,15-Sep-2026,Put,23400,95.75,5278095,178365.3033825,234790,23341.7,18.649318463444857
OPTIDXNIFTY15-09-2026CE23500.00,Index Options,NIFTY,15-Sep-2026,Call,23500,13.35,5076857,108865.58307950001,709944,23341.7,-81.64948453608247
OPTIDXNIFTY15-09-2026PE23300.00,Index Options,NIFTY,15-Sep-2026,Put,23300,41.5,4306699,64357.156506499996,375772,23341.7,-18.786692759295498
OPTIDXNIFTY15-09-2026PE23350.00,Index Options,NIFTY,15-Sep-2026,Put,23350,64.35,3979609,99020.631138,244315,23341.7,0.0
OPTIDXNIFTY15-09-2026PE23450.00,Index Options,NIFTY,15-Sep-2026,Put,23450,131.15,3665181,157831.8568125,105743,23341.7,29.723046488625123
OPTIDXNIFTY15-09-2026PE23500.00,Index Options,NIFTY,15-Sep-2026,Put,23500,174.4,3535397,201948.947434,92867,23341.7,38.52263701350278
OPTIDXNIFTY15-09-2026CE23400.00,Index Options,NIFTY,15-Sep-2026,Call,23400,34.65,3471464,147368.853996,540815,23341.7,-72.88732394366197
OPTIDXNIFTY15-09-2026CE23450.00,Index Options,NIFTY,15-Sep-2026,Call,23450,21.65,3169901,96902.2886195,413206,23341.7,-78.05372529143436
OPTIDXNIFTY15-09-2026CE23600.00,Index Options,NIFTY,15-Sep-2026,Call,23600,5.2,2829104,22103.789552,344699,23341.7,-85.94594594594595
OPTIDXNIFTY15-09-2026PE23200.00,Index Options,NIFTY,15-Sep-2026,Put,23200,14.6,2801124,15057.442062,256650,23341.7,-55.145929339477725
OPTIDXNIFTY15-09-2026CE23550.00,Index Options,NIFTY,15-Sep-2026,Call,23550,8.35,2798322,37214.884278000005,313480,23341.7,-84.08007626310773
OPTIDXNIFTY15-09-2026PE23250.00,Index Options,NIFTY,15-Sep-2026,Put,23250,25.0,2554732,22965.763314,212491,23341.7,-39.02439024390244
OPTIDXNIFTY15-09-2026PE23000.00,Index Options,NIFTY,15-Sep-2026,Put,23000,1.9,1850076,2116.486944,253843,23341.7,-85.66037735849056
OPTIDXNIFTY15-09-2026PE23100.00,Index Options,NIFTY,15-Sep-2026,Put,23100,4.6,1785944,3621.894432,201086,23341.7,-77.72397094430993
OPTIDXNIFTY15-09-2026CE23650.00,Index Options,NIFTY,15-Sep-2026,Call,23650,3.35,1722192,7197.901464,228715,23341.7,-86.78500986193293
OPTIDXNIFTY15-09-2026CE23700.00,Index Options,NIFTY,15-Sep-2026,Call,23700,2.45,1687992,4333.91946,240024,23341.7,-85.50295857988165
OPTIDXNIFTY15-09-2026PE23150.00,Index Options,NIFTY,15-Sep-2026,Put,23150,8.5,1603436,5325.812674,148493,23341.7,-66.66666666666667
OPTIDXNIFTY15-09-2026CE23800.00,Index Options,NIFTY,15-Sep-2026,Call,23800,1.6,1341799,1613.5132975,252644,23341.7,-80.12422360248448
OPTIDXNIFTY15-09-2026CE23350.00,Index Options,NIFTY,15-Sep-2026,Call,23350,54.6,1332206,76228.161217,223215,23341.7,-66.27547869054972
OPTIDXNIFTY15-09-2026CE24000.00,Index Options,NIFTY,15-Sep-2026,Call,24000,1.05,1185668,762.977358,323744,23341.7,-69.11764705882354
