symbol,sector,industry,nifty_sector_index,sector_match_basis,perf_1w,perf_1m,nifty_1w,nifty_1m,sector_1m,rs_vs_nifty_1w,rs_vs_nifty_1m,rs_vs_sector_1m
RELIANCE,Energy Minerals,Oil Refining/Marketing,NIFTY_ENERGY,industry,0.392156862745098,-1.8404907975460123,1.54,0.93,-4.02,-1.15,-2.77,2.18
BHARTIARTL,Communications,Wireless Telecommunications,,unmapped,3.279030910609856,3.1928213689482496,1.54,0.93,,1.74,2.26,
HDFCBANK,Finance,Major Banks,NIFTY_BANK,industry,-1.0767160161507403,-8.695652173913043,1.54,0.93,-0.79,-2.62,-9.63,-7.91
ICICIBANK,Finance,Regional Banks,NIFTY_BANK,industry,0.5268630849220041,2.6983002832861125,1.54,0.93,-0.79,-1.01,1.77,3.49
SBIN,Finance,Regional Banks,NIFTY_BANK,industry,3.431372549019608,1.2573183606871972,1.54,0.93,-0.79,1.89,0.33,2.05
TCS,Technology Services,Information Technology Services,NIFTY_IT,industry,-1.1065573770491803,15.454545454545457,1.54,0.93,12.4,-2.65,14.52,3.05
BAJFINANCE,Finance,Finance/Rental/Leasing,NIFTY_FIN_SERVICE,industry,9.73484848484848,11.42307692307692,1.54,0.93,0.99,8.19,10.49,10.43
LT,Industrial Services,Engineering & Construction,NIFTY_INFRA,industry,4.14848282589721,0.7274623234103876,1.54,0.93,-0.49,2.61,-0.2,1.22
LICI,Finance,Life/Health Insurance,NIFTY_FIN_SERVICE,industry,-7.994849584455104,-8.604651162790697,1.54,0.93,0.99,-9.53,-9.53,-9.59
HINDUNILVR,Consumer Non-Durables,Household/Personal Care,NIFTY_FMCG,industry,1.6971470373079824,-5.304027973298203,1.54,0.93,-0.55,0.16,-6.23,-4.75
INFY,Technology Services,Information Technology Services,NIFTY_IT,industry,2.353966870095902,11.798876297495486,1.54,0.93,12.4,0.81,10.87,-0.6
SUNPHARMA,Health Technology,Pharmaceuticals: Major,NIFTY_PHARMA,industry,-1.871522508851796,1.8907563025210083,1.54,0.93,3.45,-3.41,0.96,-1.56
MARUTI,Consumer Durables,Motor Vehicles,NIFTY_AUTO,industry,2.9753265602322205,-1.1011987733482018,1.54,0.93,9.96,1.44,-2.03,-11.06
TITAN,Consumer Durables,Other Consumer Specialties,NIFTY_AUTO,sector,1.292863476091301,10.391011235955048,1.54,0.93,9.96,-0.25,9.46,0.43
M&M,Consumer Durables,Motor Vehicles,NIFTY_AUTO,industry,5.3443492576445895,9.420817631970612,1.54,0.93,9.96,3.8,8.49,-0.54
ADANIENT,Distribution Services,Wholesale Distributors,,unmapped,1.0670024521174304,-5.572755417956657,1.54,0.93,,-0.47,-6.5,
ADANIPOWER,Utilities,Electric Utilities,NIFTY_ENERGY,industry,-0.133798442203852,-6.1983842010772,1.54,0.93,-4.02,-1.67,-7.13,-2.18
KOTAKBANK,Finance,Major Banks,NIFTY_BANK,industry,3.359173126614987,2.6298909557408594,1.54,0.93,-0.79,1.82,1.7,3.42
AXISBANK,Finance,Major Banks,NIFTY_BANK,industry,1.984546563643765,-7.509035922401709,1.54,0.93,-0.79,0.44,-8.44,-6.72
ADANIPORTS,Transportation,Other Transportation,,unmapped,-4.761904761904762,-9.226826142674067,1.54,0.93,,-6.3,-10.16,
HCLTECH,Technology Services,Information Technology Services,NIFTY_IT,industry,0.4464285714285714,17.903930131004365,1.54,0.93,12.4,-1.09,16.97,5.5
ITC,Consumer Non-Durables,Tobacco,NIFTY_FMCG,industry,0.4726890756302401,-1.0346611484738748,1.54,0.93,-0.55,-1.07,-1.96,-0.48
ULTRACEMCO,Non-Energy Minerals,Construction Materials,NIFTY_INFRA,industry,1.161825726141079,3.983621939776508,1.54,0.93,-0.49,-0.38,3.05,4.47
BAJAJFINSV,Finance,Life/Health Insurance,NIFTY_FIN_SERVICE,industry,7.525773195876289,10.657259561826963,1.54,0.93,0.99,5.99,9.73,9.67
NTPC,Utilities,Electric Utilities,NIFTY_ENERGY,industry,1.8038987489089289,-1.713483146067422,1.54,0.93,-4.02,0.26,-2.64,2.31
BAJAJ_AUTO,Consumer Durables,Motor Vehicles,NIFTY_AUTO,industry,3.1468531468531467,20.40816326530612,1.54,0.93,9.96,1.61,19.48,10.45
JSWSTEEL,Non-Energy Minerals,Steel,NIFTY_METAL,industry,5.9170183961137175,8.130081300813009,1.54,0.93,1.89,4.38,7.2,6.24
HAL,Electronic Technology,Aerospace & Defense,NIFTY_IT,sector,0.9760657377013464,4.805956678700361,1.54,0.93,12.4,-0.56,3.88,-7.59
ONGC,Energy Minerals,Oil Refining/Marketing,NIFTY_ENERGY,industry,0.0833333333333286,0.2504173622704483,1.54,0.93,-4.02,-1.46,-0.68,4.27
ETERNAL,Technology Services,Internet Software/Services,NIFTY_IT,industry,0.1452081316553873,9.355179704016916,1.54,0.93,12.4,-1.39,8.43,-3.04
NESTLEIND,Consumer Non-Durables,Food: Major Diversified,NIFTY_FMCG,industry,1.400933955970647,4.316793631185237,1.54,0.93,-0.55,-0.14,3.39,4.87
BEL,Electronic Technology,Aerospace & Defense,NIFTY_IT,sector,-0.2302379125095874,-7.582938388625592,1.54,0.93,12.4,-1.77,-8.51,-19.98
ASIANPAINT,Process Industries,Industrial Specialties,,unmapped,0.502512562814077,1.3215859030837005,1.54,0.93,,-1.04,0.39,
