index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,08-Sep-2026,23873.45,3126055,2051681,0.66,23950,8.83
BANKNIFTY,29-Sep-2026,57380.6,425501,442828,1.04,57600,10.11
