symbol,yf_ticker,reason
ABH,ABH.NS,no_ohlc_after_retry
ANAWIL,ANAWIL.NS,no_ohlc_after_retry
AVATAR,AVATAR.NS,no_ohlc_after_retry
CREDENT,CREDENT.NS,no_ohlc_after_retry
ESDS,ESDS.NS,no_ohlc_after_retry
FASCINATE,FASCINATE.NS,no_ohlc_after_retry
KDGREEN,KDGREEN.NS,no_ohlc_after_retry
MADHURKNIT,MADHURKNIT.NS,no_ohlc_after_retry
METALIC,METALIC.NS,no_ohlc_after_retry
NEELAM,NEELAM.NS,no_ohlc_after_retry
OPTIMYSTIX,OPTIMYSTIX.NS,no_ohlc_after_retry
PRAMODINI,PRAMODINI.NS,no_ohlc_after_retry
PRIORITY,PRIORITY.NS,no_ohlc_after_retry
PROPSHOP,PROPSHOP.NS,no_ohlc_after_retry
SKYTECH,SKYTECH.NS,no_ohlc_after_retry
SUMAX,SUMAX.NS,no_ohlc_after_retry
VISDEM,VISDEM.NS,no_ohlc_after_retry
