symbol,close,perf_1m,pct_change_oi,change_in_oi,tot_volume,tot_turnover,latest_oi,in_oi_spurt,fno_score
COCHINSHIP,1381.0,-7.68716577540107,56.31,17097.0,115908.0,88983.9906,47458.0,True,6
LICHSGFIN,562.9,11.919673923849288,30.97,15846.0,82432.0,195909.2665,67005.0,True,6
PIIND,2259.0,-16.348824291797815,29.54,11443.0,135694.0,47909.8977875,50174.0,True,6
GODREJPROP,1748.0,-14.103194103194102,20.3,9163.0,93058.0,55424.8367725,54311.0,True,6
LODHA,1116.9,-8.074074074074067,14.72,4814.0,80630.0,48276.406,37511.0,True,5
OIL,489.8,3.793176520449255,13.65,2435.0,30908.0,18285.10572,20268.0,True,5
PAYTM,1807.5,13.415322833657523,13.34,8067.0,191498.0,257542.6792325,68553.0,True,5
ASTRAL,1411.4,-1.4316642223618967,13.23,3256.0,19893.0,14215.527075,27870.0,True,5
GRASIM,3281.9,-1.2992090463444654,13.01,5835.0,29735.0,26901.96335,50698.0,True,5
YESBANK,23.48,3.2087912087912107,11.88,6672.0,80936.0,82526.31623,62813.0,True,5
ONGC,232.5,-3.125,11.17,7442.0,164771.0,56297.68065,74052.0,True,5
CAMS,711.0,-9.6569250317662,9.01,2114.0,11786.0,15375.2676825,25588.0,True,3
BAJAJFINSV,1913.5,-5.412753336628769,7.91,4581.0,31893.0,18588.81195,62469.0,True,3
ULTRACEMCO,11000.0,-6.700593723494487,7.61,5201.0,26897.0,43233.37221,73558.0,True,3
MCX,3276.0,10.489038785834738,7.25,5722.0,79620.0,70701.6360825,84609.0,True,3
KEI,4578.0,-18.901682905225865,7.21,3671.0,62204.0,44989.399315,54567.0,True,3
MAHABANK,84.2,6.785034876347507,6.64,781.0,5929.0,9743.89975,12539.0,True,3
MUTHOOTFIN,2792.1,-4.55664182675874,6.63,4160.0,55669.0,50314.6512825,66932.0,True,3
GODFRYPHLP,1927.0,-13.334832471328983,6.18,630.0,3662.0,3206.832585,10823.0,True,3
IEX,113.88,-10.330708661417326,6.08,1871.0,10864.0,9589.234395,32621.0,True,3
DLF,644.5,-1.3016845329249618,6.03,4169.0,54002.0,42878.841945,73361.0,True,3
LTM,4275.0,-11.855670103092784,5.92,2834.0,19413.0,22261.50495,50725.0,True,3
PRESTIGE,1498.0,-5.904522613065327,5.77,1265.0,19842.0,15767.711505,23188.0,True,3
