index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,15-Sep-2026,23477.8,3005464,1922269,0.64,23500,6.69
BANKNIFTY,29-Sep-2026,56471.95,532456,436369,0.82,57500,10.57
