symbol,swing_high_20d,swing_low_20d,swing_low_50d,base_high,base_low,base_length_days,breakout_20d_high,volume_20d_avg,volume_ratio_vs_20d,consolidation_atr_pct,pct_from_base_high,bars_available
RAJRILTD,23.71,19.75,19.75,,,,False,15288.3,0.697,6.174,,4865
RAJSREESUG,39.8,30.51,29.0,,,,False,41115.45,0.053,6.555,,6017
RAJTV,10.79,7.7,7.7,,,,False,66425.75,1.127,6.466,,4819
RAJVIR,5.6,5.21,5.21,,,,False,4.75,0.211,49.636,,5181
RALLIS,213.93,196.81,196.81,,,,False,608052.95,0.099,4.425,,6019
RAMANEWS,34.5,30.0,27.12,34.5,30.0,20.0,False,26424.3,0.21,2.632,-5.826,6019
RAMAPHO,129.7,113.86,113.86,,,,False,20705.85,0.275,4.202,,1022
RAMASTEEL,4.72,3.68,3.68,,,,False,2488024.3,0.86,6.196,,2739
RAMBHAJO,308.4,233.3,173.1,,,,False,1833520.3,0.133,4.064,,61
RAMCOCEM,944.0,849.2,849.2,,,,False,227776.5,0.111,5.06,,6018
RAMCOIND,355.0,305.8,305.8,,,,False,96270.75,0.213,5.246,,6020
RAMCOSYS,620.0,543.95,537.15,,,,False,87710.85,0.745,3.455,,5987
RAMKY,370.05,308.85,308.85,,,,False,36089.55,0.316,6.652,,3939
RAMRAT,602.45,489.55,401.35,,,,False,549259.95,0.268,4.418,,1027
RANASUG,16.2,14.04,11.52,,,,False,462516.6,0.253,5.381,,5331
RANEHOLDIN,1740.0,1530.9,1530.9,,,,False,16563.2,0.068,4.005,,6020
RATEGAIN,953.0,832.2,832.2,,,,False,337611.8,0.21,4.321,,1181
RATNAMANI,2897.3999,2533.3999,2154.6001,,,,False,70120.75,0.086,3.074,,5032
RATNAVEER,343.75,275.2,173.01,,,,False,6742008.7,0.437,3.329,,752
RAYMOND,1193.4,611.0,571.45,,,,False,5905723.05,0.292,6.95,,7714
RAYMONDLSL,732.0,628.25,628.25,,,,False,334867.2,0.28,3.256,,513
RAYMONDREL,615.0,501.05,501.05,,,,False,607709.9,0.401,4.22,,310
RBA,104.48,92.14,63.57,,,,False,3128114.95,0.2,3.74,,1432
RBLBANK,429.6,375.0,347.85,,,,True,3785197.9,0.507,5.464,,2490
RBMINFRA,334.95,223.9,221.0,,,,False,33870.0,0.661,4.622,,915
RBS,95.8,75.0,72.0,,,,False,9120.0,2.719,5.665,,600
RBZJEWEL,204.7,144.21,133.5,,,,False,1854679.6,0.019,5.555,,680
RCDL,22.0,13.4,13.4,,,,False,44850.0,0.602,8.569,,715
RCF,122.71,107.27,107.27,,,,False,1246055.95,0.325,6.485,,6019
RCOM,1.09,0.78,0.78,,,,False,3312027.55,0.357,7.483,,5986
RECLTD,324.55,307.1,307.1,,,,False,4345765.75,0.436,3.959,,4572
REDINGTON,419.5,343.7,255.7,,,,False,6571022.9,0.296,5.197,,4840
REDTAPE,132.75,113.1,113.1,,,,False,2097263.25,0.028,4.082,,773
REFEX,297.0,258.1,258.1,,,,False,591971.75,0.148,4.196,,4152
REFRACTORY,33.2,23.15,23.15,,,,True,15850.0,1.767,8.086,,587
REGAAL,103.0,77.71,75.0,,,,False,781658.4,3.419,5.782,,274
REGENCERAM,38.2,30.4,30.0,38.2,30.4,20.0,False,3356.2,0.377,2.361,-13.586,6018
RELAXO,369.6,289.25,289.25,,,,False,268450.75,0.414,7.482,,3768
RELCHEMQ,129.5,108.6,108.6,,,,False,11412.9,0.041,3.345,,1075
RELIABLE,147.98,123.55,123.55,,,,False,31483.8,0.03,4.001,,2209
RELIANCE,1333.0,1226.4,1226.4,,,,False,11051835.45,0.146,5.832,,7714
RELIGARE,261.59,226.65,223.25,,,,False,1208089.95,0.043,5.433,,4648
RELINFRA,61.98,47.06,47.06,,,,False,200468.75,0.094,11.695,,7717
RELTD,164.0,140.88,140.88,,,,False,138735.05,0.122,3.438,,537
REMSONSIND,104.6,80.1,76.2,,,,False,148434.4,0.291,4.879,,6021
REMUS,1007.0,835.1,705.0,,,,False,8635.0,0.336,4.164,,820
RENTOMOJO,581.95,482.45,482.45,,,,False,19494333.8,0.067,2.082,,5
RENUKA,25.81,22.35,21.5,,,,False,16252146.05,0.275,3.508,,5159
REPCOHOME,372.0,340.65,340.65,,,,False,79734.95,0.242,3.412,,3330
REPL,68.0,56.0,56.0,,,,False,4617.35,0.15,4.329,,2016
REPRO,334.8,285.2,285.2,,,,False,21374.1,0.439,3.567,,5423
RESPONIND,176.8,142.98,142.98,,,,False,3130989.55,0.178,3.189,,3924
RETAIL,18.89,15.81,15.81,18.89,15.81,20.0,False,4319.05,0.007,2.372,-9.317,559
RGL,163.45,130.77,107.82,,,,False,3578359.35,0.082,3.808,,4633
RHETAN,28.9,16.79,16.79,,,,False,8173916.5,0.056,9.846,,249
RHFL,1.98,1.68,1.68,,,,False,603610.7,0.277,4.078,,2227
RHIM,397.85,360.5,360.5,,,,False,873134.95,2.758,3.832,,3589
RHL,182.75,164.2,164.2,182.75,164.2,20.0,False,3907.5,0.0,2.778,-4.788,847
RICOAUTO,136.25,123.48,123.48,136.25,123.48,20.0,False,744123.6,0.183,2.849,-5.174,6018
RIIL,770.0,681.0,681.0,,,,False,36998.3,0.211,5.341,,7713
RILINFRA,37.2,31.0,31.0,,,,False,14740.0,0.76,3.807,,1048
RIR,213.94,154.0,154.0,,,,False,3648199.65,0.054,4.135,,50
RISHABH,852.0,675.0,597.0,,,,False,266479.25,0.125,4.428,,751
RITCO,331.15,275.85,260.35,,,,False,86919.0,0.12,4.016,,1101
RITES,219.35,202.0,202.0,,,,False,295501.3,0.327,4.115,,2035
RITEZONE,22.5,16.75,16.75,,,,False,2160.0,0.741,10.592,,952
RKDL,19.3,17.49,17.32,19.3,17.49,20.0,False,13093.1,0.215,2.719,-3.679,3886
RKEC,23.97,17.4,17.4,,,,False,36920.3,0.241,5.101,,2216
