index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,29-Sep-2026,23409.25,2854636.307692308,2780097.692307692,0.97,23500,9.36
BANKNIFTY,29-Sep-2026,56522.7,610895.0,563248.0,0.92,57000,12.18
