symbol,sector,nifty_sector_index,perf_1w,perf_1m,nifty_1w,nifty_1m,sector_1m,rs_vs_nifty_1w,rs_vs_nifty_1m,rs_vs_sector_1m
RELIANCE,Energy Minerals,NIFTY_ENERGY,-1.455363840960247,-3.8923031899326928,-0.27,-0.04,-0.92,-1.19,-3.85,-2.97
HDFCBANK,Finance,NIFTY_FIN_SERVICE,0.7046276899638251,2.21649484536083,-0.27,-0.04,5.94,0.97,2.26,-3.72
BHARTIARTL,Communications,,1.3113869400971374,-0.803170409511231,-0.27,-0.04,,1.58,-0.76,
ICICIBANK,Finance,NIFTY_FIN_SERVICE,2.35469448584202,8.07238394964594,-0.27,-0.04,5.94,2.62,8.11,2.13
SBIN,Finance,NIFTY_FIN_SERVICE,1.7305801376597747,7.782060631315755,-0.27,-0.04,5.94,2.0,7.82,1.84
TCS,Technology Services,NIFTY_IT,-4.526935264825713,-9.290322580645162,-0.27,-0.04,-4.88,-4.26,-9.25,-4.41
BAJFINANCE,Finance,NIFTY_FIN_SERVICE,3.7535336613967143,7.00248353309578,-0.27,-0.04,5.94,4.02,7.04,1.06
LT,Industrial Services,NIFTY_ENERGY,-0.4380848075045961,5.332493702770776,-0.27,-0.04,-0.92,-0.17,5.37,6.25
LICI,Finance,NIFTY_FIN_SERVICE,6.358099878197326,5.478045539650905,-0.27,-0.04,5.94,6.63,5.52,-0.46
HINDUNILVR,Consumer Non-Durables,NIFTY_FMCG,-1.9671982190722697,-2.582392776523694,-0.27,-0.04,-2.34,-1.7,-2.54,-0.24
ADANIPOWER,Utilities,NIFTY_ENERGY,3.216531895777177,3.9638009049773713,-0.27,-0.04,-0.92,3.49,4.0,4.88
SUNPHARMA,Health Technology,NIFTY_PHARMA,3.3296582138919564,1.869565217391309,-0.27,-0.04,1.4,3.6,1.91,0.47
AXISBANK,Finance,NIFTY_FIN_SERVICE,1.495491532878828,6.46724084896954,-0.27,-0.04,5.94,1.77,6.51,0.53
MARUTI,Consumer Durables,NIFTY_AUTO,-3.2992700729927007,0.7835678965386078,-0.27,-0.04,1.53,-3.03,0.82,-0.75
INFY,Technology Services,NIFTY_IT,-8.041775456919067,-10.684699915469151,-0.27,-0.04,-4.88,-7.77,-10.64,-5.8
ADANIPORTS,Transportation,NIFTY_AUTO,-0.5866228070175463,0.2377003869541157,-0.27,-0.04,1.53,-0.32,0.28,-1.29
KOTAKBANK,Finance,NIFTY_FIN_SERVICE,-0.4658575456663072,4.54545454545454,-0.27,-0.04,5.94,-0.2,4.59,-1.39
ADANIENT,Distribution Services,NIFTY_FIN_SERVICE,3.776200135226498,12.041024892327894,-0.27,-0.04,5.94,4.05,12.08,6.1
TITAN,Consumer Durables,NIFTY_AUTO,-0.3273397879206965,4.9440547559525205,-0.27,-0.04,1.53,-0.06,4.98,3.41
M&M,Consumer Durables,NIFTY_AUTO,-2.559618441971383,-2.2394487510766523,-0.27,-0.04,1.53,-2.29,-2.2,-3.77
ITC,Consumer Non-Durables,NIFTY_FMCG,-0.5480390477821429,-4.474420134890596,-0.27,-0.04,-2.34,-0.28,-4.43,-2.13
