index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,30-Jun-2026,24021.65,2310786.846153847,2779387.4615384615,1.2,24000,10.92
BANKNIFTY,30-Jun-2026,58150.35,561672.0,666981.0,1.19,57400,11.7
