index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,07-Jul-2026,24381.75,2922240,4117264,1.41,24350,13.05
BANKNIFTY,28-Jul-2026,58302.15,406819,354984,0.87,58200,13.57
