date,symbol,subject,details,category
06-Jul-2026 10:18:16,HISARMETAL,Structural Digital Database,"Compliance Certificate of Structural Digital Database under SEBI (PIT) Regulations, 2015 for the quarter ended 30th June, 2026",Structural Digital Database
06-Jul-2026 10:13:47,LUPIN,Press Release,"Lupin Limited has informed the Exchange regarding a press release dated July 06, 2026, titled ""Lupin Named Among World s Most Sustainable Companies by TIME and Statista"".",Press Release
06-Jul-2026 10:12:02,FAIRCHEMOR,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Fairchem Organics Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018","Certificate under SEBI (Depositories and Participants) Regulations, 2018"
06-Jul-2026 10:10:25,BASF,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","BASF India Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018","Certificate under SEBI (Depositories and Participants) Regulations, 2018"
06-Jul-2026 09:44:02,MCLOUD,Bagging/Receiving of orders/contracts,Magellanic Cloud Limited has informed the Exchange about receipt of Letter of Acceptance by Provigil Surveillance Limited,Bagging/Receiving of orders/contracts
06-Jul-2026 09:05:39,MAHABANK,General Updates,Bank of Maharashtra has informed the Exchange about Disclosure of Provisional Business Figures as on 30.06.2026,General Updates
06-Jul-2026 09:04:21,NAUKRI,Press Release,"Info Edge (India) Limited has informed the Exchange regarding a press release dated July 06, 2026, titled ""Naukri Scales AI-Powered Recruitment Solutions Across Enterprises and Jobseekers"".",Press Release
06-Jul-2026 08:40:02,MINDTECK,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Mindteck (India) Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018","Certificate under SEBI (Depositories and Participants) Regulations, 2018"
06-Jul-2026 08:39:21,GRANULES,Press Release,"Granules India Limited has informed the Exchange regarding a press release dated July 06, 2026, titled ""Granules India Limited Secures Sole First-to-File ANDA Status for Sodium Oxybate Extended-Release for Oral Suspension "".",Press Release
06-Jul-2026 08:36:46,GLENMARK,Press Release,"Glenmark Pharmaceuticals Limited has informed the Exchange regarding a press release dated July 06, 2026, titled ""Glenmark Pharmaceuticals Inc., USA launches Olanzapine for Injection, 10 mg/vial, Single-Dose Vial"".",Press Release
06-Jul-2026 07:53:53,POONAWALLA,General Updates,Poonawalla Fincorp Limited has informed the Exchange about General Updates,General Updates
06-Jul-2026 06:55:54,SATIN,General Updates,"Satin Creditcare Network Limited has informed the Exchange about General Updates - ""Announcement under Regulation 30 of SEBI (LODR) Regulations, 2015 - Business Update""",General Updates
06-Jul-2026 00:16:19,OBEROIRLTY,Press Release,"Oberoi Realty Limited has informed the Exchange regarding a press release dated July 05, 2026, titled ""Press release titled ''Oberoi Realty Achieves Gross Bookings of Approximately Rs. 8,109 Crore at Three Sixty North, Gurugram''"".",Press Release
05-Jul-2026 22:48:03,FEDERALBNK,General Updates,The Federal Bank  Limited has informed the Exchange about Allotment of Equity Shares on exercise of Stock options pursuant to Employee Stock Option Scheme,General Updates
05-Jul-2026 22:19:13,KRONOX,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Kronox Lab Sciences Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018","Certificate under SEBI (Depositories and Participants) Regulations, 2018"
05-Jul-2026 22:15:21,DIACABS,Press Release,"Diamond Power Infrastructure Limited has informed the Exchange regarding a press release dated July 05, 2026, titled ""Press release on receipt of order"".",Press Release
05-Jul-2026 21:58:16,DIACABS,Bagging/Receiving of orders/contracts,Diamond Power Infrastructure Limited has informed the Exchange about Receipt of Order for Supply of HT & LT Cables to Data Centre Projects Hyderabad,Bagging/Receiving of orders/contracts
05-Jul-2026 21:06:47,CREDITACC,Shareholders meeting,"CREDITACCESS GRAMEEN LIMITED has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on July 03, 2026. Further, the company has informed the Exchange regarding voting results.",Shareholders meeting
05-Jul-2026 20:02:57,KIMS,Copy of Newspaper Publication,Krishna Institute of Medical Sciences Limited has informed the Exchange about Copy of Newspaper Publication,Copy of Newspaper Publication
05-Jul-2026 19:28:46,KMSUGAR,Copy of Newspaper Publication,K.M.Sugar Mills Limited has informed the Exchange about Copy of Newspaper Publication for Notice of AGM dated 28.07.2026,Copy of Newspaper Publication
