index,ticker,close,prev_close,pct_change
NIFTY_50,^NSEI,24381.35,24270.85,0.46
NIFTY_BANK,^NSEBANK,58311.95,57938.5,0.64
NIFTY_NEXT_50,^NSMIDCP,72691.15,72268.95,0.58
INDIA_VIX,^INDIAVIX,11.95,11.8,1.27
SENSEX,^BSESN,78122.56,77763.91,0.46
