symbol,sector,nifty_sector_index,perf_1w,perf_1m,nifty_1w,nifty_1m,sector_1m,rs_vs_nifty_1w,rs_vs_nifty_1m,rs_vs_sector_1m
RELIANCE,Energy Minerals,NIFTY_ENERGY,-0.89473684210527,-3.088008234688626,-0.46,0.6,-1.59,-0.43,-3.69,-1.5
HDFCBANK,Finance,NIFTY_FIN_SERVICE,1.2460267005721493,1.5624003571200815,-0.46,0.6,6.08,1.71,0.96,-4.52
BHARTIARTL,Communications,,-1.49563551202895,-1.2433297758804671,-0.46,0.6,,-1.04,-1.84,
ICICIBANK,Finance,NIFTY_FIN_SERVICE,4.041691661667674,7.558139534883721,-0.46,0.6,6.08,4.5,6.96,1.48
SBIN,Finance,NIFTY_FIN_SERVICE,1.7025002432143204,7.784307660583576,-0.46,0.6,6.08,2.16,7.18,1.7
TCS,Technology Services,NIFTY_IT,-5.174287007695798,-9.249631747682177,-0.46,0.6,-5.69,-4.71,-9.85,-3.56
BAJFINANCE,Finance,NIFTY_FIN_SERVICE,2.300829550790416,3.8614333386302166,-0.46,0.6,6.08,2.76,3.26,-2.22
LT,Industrial Services,NIFTY_ENERGY,0.2067637901941635,4.635695850704778,-0.46,0.6,-1.59,0.67,4.04,6.23
LICI,Finance,NIFTY_FIN_SERVICE,0.869668811055524,0.5940358797671379,-0.46,0.6,6.08,1.33,-0.01,-5.49
HINDUNILVR,Consumer Non-Durables,NIFTY_FMCG,-1.5620047992031514,-1.1547554100745632,-0.46,0.6,-1.68,-1.1,-1.75,0.53
SUNPHARMA,Health Technology,NIFTY_PHARMA,2.492434662998622,1.7923497267759538,-0.46,0.6,1.26,2.95,1.19,0.53
ADANIPOWER,Utilities,NIFTY_ENERGY,4.024500907441018,-2.12593383137673,-0.46,0.6,-1.59,4.48,-2.73,-0.54
AXISBANK,Finance,NIFTY_FIN_SERVICE,2.1964974769961514,5.145823789891594,-0.46,0.6,6.08,2.66,4.55,-0.93
INFY,Technology Services,NIFTY_IT,-8.8984163093884,-10.72622824316213,-0.46,0.6,-5.69,-8.44,-11.33,-5.04
ADANIPORTS,Transportation,NIFTY_AUTO,-2.0185488270594654,-0.4986149584487535,-0.46,0.6,3.82,-1.56,-1.1,-4.32
MARUTI,Consumer Durables,NIFTY_AUTO,0.7254873222922468,4.223536548377313,-0.46,0.6,3.82,1.19,3.62,0.4
KOTAKBANK,Finance,NIFTY_FIN_SERVICE,1.250154722119077,4.110983836069741,-0.46,0.6,6.08,1.71,3.51,-1.97
ADANIENT,Distribution Services,NIFTY_FIN_SERVICE,2.913279132791328,6.746310611384399,-0.46,0.6,6.08,3.37,6.15,0.67
TITAN,Consumer Durables,NIFTY_AUTO,-2.0251141552511376,3.357498976372277,-0.46,0.6,3.82,-1.57,2.76,-0.46
M&M,Consumer Durables,NIFTY_AUTO,1.4408670704494682,1.9282511210762276,-0.46,0.6,3.82,1.9,1.33,-1.89
ITC,Consumer Non-Durables,NIFTY_FMCG,-0.3607627555402891,-4.714966321669138,-0.46,0.6,-1.68,0.1,-5.31,-3.03
NTPC,Utilities,NIFTY_ENERGY,-1.3865546218487363,-9.904030710172744,-0.46,0.6,-1.59,-0.93,-10.5,-8.31
ULTRACEMCO,Non-Energy Minerals,NIFTY_METAL,0.8691834942932397,-1.7194183062446535,-0.46,0.6,-5.81,1.33,-2.32,4.09
BEL,Electronic Technology,NIFTY_IT,-3.621301775147932,-3.8488783943329423,-0.46,0.6,-5.69,-3.16,-4.45,1.84
HCLTECH,Technology Services,NIFTY_IT,-4.4531249999999964,-5.576048726087329,-0.46,0.6,-5.69,-3.99,-6.18,0.11
ONGC,Energy Minerals,NIFTY_ENERGY,-5.224639154299653,-18.23921431076816,-0.46,0.6,-1.59,-4.76,-18.84,-16.65
JSWSTEEL,Non-Energy Minerals,NIFTY_METAL,-4.425465838509317,-4.52923840545991,-0.46,0.6,-5.81,-3.97,-5.13,1.28
HAL,Electronic Technology,NIFTY_IT,-2.397229669347636,-1.2700851996655251,-0.46,0.6,-5.69,-1.94,-1.87,4.42
BAJAJFINSV,Finance,NIFTY_FIN_SERVICE,-0.2938185105661682,-2.368042491977436,-0.46,0.6,6.08,0.17,-2.97,-8.45
DMART,Retail Trade,NIFTY_FMCG,-0.1255813953488287,4.748896314544275,-0.46,0.6,-1.68,0.33,4.15,6.43
BAJAJ_AUTO,Consumer Durables,NIFTY_AUTO,-2.0499552194248185,-6.524216524216524,-0.46,0.6,3.82,-1.59,-7.12,-10.34
COALINDIA,Energy Minerals,NIFTY_ENERGY,-4.517543859649128,-4.934497816593892,-0.46,0.6,-1.59,-4.06,-5.53,-3.34
POWERGRID,Utilities,NIFTY_ENERGY,-0.8555962982364398,-3.7627118644067874,-0.46,0.6,-1.59,-0.4,-4.36,-2.17
NESTLEIND,Consumer Non-Durables,NIFTY_FMCG,-0.3339728558232108,-1.0581264108352144,-0.46,0.6,-1.68,0.13,-1.66,0.62
ASIANPAINT,Process Industries,NIFTY_METAL,-3.635701275045544,-0.1811320754717049,-0.46,0.6,-5.81,-3.18,-0.78,5.63
ADANIGREEN,Utilities,NIFTY_ENERGY,3.6400679117147647,8.234042553191482,-0.46,0.6,-1.59,4.1,7.63,9.82
ETERNAL,Technology Services,NIFTY_IT,-1.2959381044487406,3.090909090909093,-0.46,0.6,-5.69,-0.84,2.49,8.78
SHRIRAMFIN,Finance,NIFTY_FIN_SERVICE,2.158415841584154,7.367325702393336,-0.46,0.6,6.08,2.62,6.77,1.29
TATASTEEL,Non-Energy Minerals,NIFTY_METAL,-5.175619315612272,-10.095283468318248,-0.46,0.6,-5.81,-4.72,-10.7,-4.29
HINDZINC,Non-Energy Minerals,NIFTY_METAL,-8.794014084507051,-18.017091311916445,-0.46,0.6,-5.81,-8.33,-18.62,-12.21
HINDALCO,Non-Energy Minerals,NIFTY_METAL,-5.248508946322063,-13.502722323048998,-0.46,0.6,-5.81,-4.79,-14.1,-7.69
GRASIM,Non-Energy Minerals,NIFTY_METAL,-1.0099730884913751,-1.3192778689559457,-0.46,0.6,-5.81,-0.55,-1.92,4.49
EICHERMOT,Consumer Durables,NIFTY_AUTO,1.0372340425531914,2.4679703304113283,-0.46,0.6,3.82,1.5,1.87,-1.35
IOC,Energy Minerals,NIFTY_ENERGY,-1.310013717421142,0.132219902574807,-0.46,0.6,-1.59,-0.85,-0.47,1.72
INDIGO,Transportation,NIFTY_AUTO,11.338100102145043,21.11111111111111,-0.46,0.6,3.82,11.8,20.51,17.29
WIPRO,Technology Services,NIFTY_IT,-5.133626063858621,-15.454852891444034,-0.46,0.6,-5.69,-4.67,-16.05,-9.76
VAML,Non-Energy Minerals,NIFTY_METAL,-4.337869950313239,-15.168582375478929,-0.46,0.6,-5.81,-3.88,-15.77,-9.36
ADANIENSOL,Utilities,NIFTY_ENERGY,0.9912926992632254,7.316725978647685,-0.46,0.6,-1.59,1.45,6.72,8.91
DIVISLAB,Health Technology,NIFTY_PHARMA,0.7806049688508594,-0.6143597335307179,-0.46,0.6,1.26,1.24,-1.21,-1.87
SBILIFE,Finance,NIFTY_FIN_SERVICE,-3.114936146585225,-8.394582108357826,-0.46,0.6,6.08,-2.65,-8.99,-14.47
TRENT,Retail Trade,NIFTY_FMCG,2.9183999999999943,12.454544892272716,-0.46,0.6,-1.68,3.38,11.85,14.13
VBL,Consumer Non-Durables,NIFTY_FMCG,-7.312397297790773,-4.063120098270812,-0.46,0.6,-1.68,-6.85,-4.66,-2.38
ICICIAMC,Finance,NIFTY_FIN_SERVICE,1.494859513713048,-0.8375558867362118,-0.46,0.6,6.08,1.95,-1.44,-6.92
TVSMOTOR,Consumer Durables,NIFTY_AUTO,3.173502124338846,2.888024210981404,-0.46,0.6,3.82,3.63,2.29,-0.93
SOLARINDS,Process Industries,NIFTY_METAL,-0.8928063690645437,-5.164063775371388,-0.46,0.6,-5.81,-0.43,-5.76,0.65
PIDILITIND,Process Industries,NIFTY_METAL,1.3968253968253967,8.109937720010828,-0.46,0.6,-5.81,1.86,7.51,13.92
BSE,Finance,NIFTY_FIN_SERVICE,-3.1975000000000025,-9.951162790697676,-0.46,0.6,6.08,-2.74,-10.55,-16.03
HYUNDAI,Consumer Durables,NIFTY_AUTO,-0.6156641098102452,5.096323176263407,-0.46,0.6,3.82,-0.16,4.5,1.28
JIOFIN,Finance,NIFTY_FIN_SERVICE,-1.4610255988147105,-0.8119640415924353,-0.46,0.6,6.08,-1.0,-1.41,-6.89
IDEA,Communications,,-6.204136090727149,-0.2129169623846654,-0.46,0.6,,-5.74,-0.81,
CUMMINSIND,Producer Manufacturing,NIFTY_AUTO,-3.6379163108454313,5.2611940298507465,-0.46,0.6,3.82,-3.18,4.66,1.44
DLF,Finance,NIFTY_FIN_SERVICE,-0.3528185390104935,4.931182977286168,-0.46,0.6,6.08,0.11,4.33,-1.15
CHOLAFIN,Finance,NIFTY_FIN_SERVICE,7.414925373134331,12.555520800750706,-0.46,0.6,6.08,7.87,11.96,6.48
MOTHERSON,Producer Manufacturing,NIFTY_AUTO,4.555478980013794,11.15100007326544,-0.46,0.6,3.82,5.02,10.55,7.33
TORNTPHARM,Health Technology,NIFTY_PHARMA,1.487640449438198,-1.2269536119677265,-0.46,0.6,1.26,1.95,-1.83,-2.49
POWERINDIA,Electronic Technology,NIFTY_IT,-5.258019525801952,-4.053672316384181,-0.46,0.6,-5.69,-4.8,-4.65,1.64
TMCV,Consumer Durables,NIFTY_AUTO,7.171215880893294,9.424879655434506,-0.46,0.6,3.82,7.63,8.82,5.6
TATACAP,Finance,NIFTY_FIN_SERVICE,7.588757396449697,17.30645161290322,-0.46,0.6,6.08,8.05,16.71,11.23
ABB,Producer Manufacturing,NIFTY_AUTO,-2.5365853658536586,3.523316062176166,-0.46,0.6,3.82,-2.08,2.92,-0.3
POLYCAB,Producer Manufacturing,NIFTY_AUTO,-4.20142727912353,1.723677891029404,-0.46,0.6,3.82,-3.74,1.12,-2.1
CGPOWER,Producer Manufacturing,NIFTY_AUTO,-2.866274873698315,8.549372047470913,-0.46,0.6,3.82,-2.41,7.95,4.73
BANKBARODA,Finance,NIFTY_FIN_SERVICE,-1.6384778012685108,2.290216196408941,-0.46,0.6,6.08,-1.18,1.69,-3.79
PFC,Finance,NIFTY_FIN_SERVICE,0.1272853506132734,-1.737451737451745,-0.46,0.6,6.08,0.59,-2.34,-7.82
TECHM,Technology Services,NIFTY_IT,-1.162310866574972,0.244140625,-0.46,0.6,-5.69,-0.7,-0.36,5.93
BHEL,Producer Manufacturing,NIFTY_AUTO,2.5203665987779984,-4.004767580452923,-0.46,0.6,3.82,2.98,-4.6,-7.82
BPCL,Energy Minerals,NIFTY_ENERGY,-2.8996865203761755,0.48661800486618,-0.46,0.6,-1.59,-2.44,-0.11,2.08
UNIONBANK,Finance,NIFTY_FIN_SERVICE,0.2122289778593578,2.193495554515676,-0.46,0.6,6.08,0.67,1.59,-3.89
ENRIN,Producer Manufacturing,NIFTY_AUTO,-3.005263157894732,2.671383604000114,-0.46,0.6,3.82,-2.55,2.07,-1.15
GVT&D,Producer Manufacturing,NIFTY_AUTO,-2.1251819505094613,5.130396714544818,-0.46,0.6,3.82,-1.67,4.53,1.31
TMPV,Consumer Durables,NIFTY_AUTO,-2.940368233031049,-5.498327759197327,-0.46,0.6,3.82,-2.48,-6.1,-9.32
HDFCLIFE,Finance,NIFTY_FIN_SERVICE,0.4202401372212771,-5.732227678930829,-0.46,0.6,6.08,0.88,-6.33,-11.81
SIEMENS,Producer Manufacturing,NIFTY_AUTO,-2.8674698795180698,-1.5708937001465106,-0.46,0.6,3.82,-2.41,-2.17,-5.39
BRITANNIA,Consumer Non-Durables,NIFTY_FMCG,0.1242711021890832,-2.2218073188946974,-0.46,0.6,-1.68,0.58,-2.82,-0.54
MUTHOOTFIN,Finance,NIFTY_FIN_SERVICE,-5.097079765377497,-9.559394990135711,-0.46,0.6,6.08,-4.64,-10.16,-15.64
TATAPOWER,Utilities,NIFTY_ENERGY,-3.4743764735078795,-6.333534015653223,-0.46,0.6,-1.59,-3.01,-6.93,-4.74
