symbol,sector,nifty_sector_index,perf_1w,perf_1m,nifty_1w,nifty_1m,sector_1m,rs_vs_nifty_1w,rs_vs_nifty_1m,rs_vs_sector_1m
RELIANCE,Energy Minerals,NIFTY_ENERGY,0.6734267358154514,-2.430607651912985,-0.27,0.23,1.56,0.94,-2.66,-3.99
HDFCBANK,Finance,NIFTY_FIN_SERVICE,-1.626213592233007,2.91373071795849,-0.27,0.23,5.66,-1.36,2.68,-2.75
BHARTIARTL,Communications,,-0.5699481865284974,3.561791689152725,-0.27,0.23,,-0.3,3.33,
ICICIBANK,Finance,NIFTY_FIN_SERVICE,2.381809023530252,6.020864381520116,-0.27,0.23,5.66,2.65,5.79,0.36
SBIN,Finance,NIFTY_FIN_SERVICE,0.1359883438562497,1.366764995083588,-0.27,0.23,5.66,0.41,1.14,-4.29
TCS,Technology Services,NIFTY_IT,5.676420292608778,0.7107288365776288,-0.27,0.23,1.46,5.95,0.48,-0.75
BAJFINANCE,Finance,NIFTY_FIN_SERVICE,3.3363033363033296,9.286985655952249,-0.27,0.23,5.66,3.61,9.06,3.63
LICI,Finance,NIFTY_FIN_SERVICE,-0.3863636363636338,6.772228989037761,-0.27,0.23,5.66,-0.12,6.54,1.11
LT,Industrial Services,NIFTY_ENERGY,-3.075544174135721,-9.885478917168644,-0.27,0.23,1.56,-2.81,-10.12,-11.45
HINDUNILVR,Consumer Non-Durables,NIFTY_FMCG,-2.1473390657680604,-4.352369269910487,-0.27,0.23,-0.65,-1.88,-4.58,-3.7
SUNPHARMA,Health Technology,NIFTY_PHARMA,3.111275728874541,7.782079646017701,-0.27,0.23,7.52,3.38,7.55,0.26
INFY,Technology Services,NIFTY_IT,2.716279069767446,-3.8990426457789344,-0.27,0.23,1.46,2.99,-4.13,-5.36
MARUTI,Consumer Durables,NIFTY_AUTO,-0.7246376811594203,0.0,-0.27,0.23,4.04,-0.45,-0.23,-4.04
ADANIENT,Distribution Services,NIFTY_FIN_SERVICE,3.1405228758169903,6.215925153126466,-0.27,0.23,5.66,3.41,5.99,0.56
