date,symbol,subject,details,category
17-Jul-2026 09:06:22,BORORENEW,Investor Presentation,BOROSIL RENEWABLES LIMITED has informed the Exchange about Investor Presentation,Investor Presentation
17-Jul-2026 08:52:25,SEAMECLTD,Copy of Newspaper Publication,Seamec Limited has informed the Exchange about Copy of Newspaper Publication of the Notice of Postal Ballot,Copy of Newspaper Publication
17-Jul-2026 08:48:21,LYKALABS,Shareholders meeting,"Lyka Labs Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on August 10, 2026",Shareholders meeting
17-Jul-2026 02:41:00,BRITANNIA,General Updates,"Communication to the Shareholders describing the brief provisions of the Income Tax Act, 2025 and the documents required for Deduction of Tax at Source (TDS) on Final Dividend for the financial year ended 31 March 2026.",General Updates
17-Jul-2026 00:50:48,5PAISA,Investor Presentation,5Paisa Capital Limited has informed the Exchange about Investor Presentation,Investor Presentation
17-Jul-2026 00:48:00,5PAISA,Press Release (Revised),"Revised Press Release and Presentation on the Unaudited Financial for the Quarter ended June 30, 2026",Press Release (Revised)
17-Jul-2026 00:32:43,SAMBHV,Shareholders meeting,"Sambhv Steel Tubes Limited has informed the Exchange regarding Notice of Extraordinary General Meeting to be held on August 10, 2026",Shareholders meeting
17-Jul-2026 00:04:13,BRITANNIA,Updates,Britannia Industries Limited has informed the Exchange regarding 'Annual Report for FY 2025-26 and Notice of the 107th AGM'.,Updates
16-Jul-2026 23:55:26,BRITANNIA,Shareholders meeting,"Britannia Industries Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on August 07, 2026",Shareholders meeting
16-Jul-2026 23:40:35,HFCL,Updates,HFCL Limited has informed the Exchange regarding 'Intimation to Shareholders on Tax Deduction on Dividend'.,Updates
16-Jul-2026 23:37:19,HDFCLIFE,Shareholders meeting,"HDFC Life Insurance Company Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on July 16, 2026",Shareholders meeting
16-Jul-2026 23:26:49,EVERESTIND,Appointment,"Pursuant to the Regulation 30 of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 ( Listing Regulations ) read with SEBI Master Circular No. HO/49/14/14(7)2025-CFD-POD2/I/3762/2026 dated January 30, 2026, we would like to inform the excha",Appointment
16-Jul-2026 23:23:30,MENONBE,Investor Presentation,Menon Bearings Limited has informed the Exchange about Investor Presentation,Investor Presentation
16-Jul-2026 23:18:44,GVPIL,Copy of Newspaper Publication,"GE Power India Limited has informed the Exchange about Copy of Newspaper Publication   regarding 34th Annual General Meeting & E-Voting, Record Date for Dividend and opening of Special Window for Re-lodgement of Transfer Requests of Physical Shares",Copy of Newspaper Publication
16-Jul-2026 23:16:09,DIACABS,Press Release,"Diamond Power Infrastructure Limited has informed the Exchange regarding a press release dated July 16, 2026, titled ""secures conductor supply order of Rs. 185 Crore from Adani Energy Solutions Limited "".",Press Release
16-Jul-2026 23:12:48,DIACABS,Bagging/Receiving of orders/contracts,Diamond Power Infrastructure Limited has informed the Exchange about Bagging/Receiving of orders/contracts,Bagging/Receiving of orders/contracts
16-Jul-2026 23:09:41,ADANIENT,Updates,Adani Enterprises Limited has informed the Exchange regarding 'Intimation relating to Share Purchase Agreement executed by a subsidiary entity  '.,Updates
16-Jul-2026 22:52:22,SBIN,General Updates,State Bank of India has informed the Exchange about Update on IPO of SBI Funds Management Limited,General Updates
16-Jul-2026 22:47:08,RHIM,General Updates,RHI MAGNESITA INDIA LTD has informed the Exchange about General Updates,General Updates
16-Jul-2026 22:44:08,CELLO,Shareholders meeting,"Cello World Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on August 07, 2026",Shareholders meeting
