index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,28-Jul-2026,24092.3,2230255,1917260,0.86,24200,10.31
BANKNIFTY,28-Jul-2026,57446.95,612708,521053,0.85,58000,15.75
