symbol,close,score,perf_1m,rs_vs_nifty_1m,rs_vs_sector_1m,deliv_pct,pct_change_oi,upside_to_target_pct,atr,stop_1_5atr,target_5pct,earnings_within_21d,event_risk_score,tech_rating,sector
J&KBANK,185.43,13,12.415883601091252,12.46,13.26,46.33,,8.8,7.420848444033503,174.3,194.7,False,0,Strong buy,Finance
PFOCUS,288.92,13,25.617391304347837,25.66,27.06,47.07,,27.02,12.900502812834857,269.57,303.37,False,0,Buy,Consumer Services
GODREJIND,1361.0,13,22.34807623157137,22.39,25.37,40.3,,6.02,50.23955238001789,1285.64,1429.05,False,0,Buy,Process Industries
IPCALAB,1783.5,13,11.260137242669996,11.3,7.16,76.01,,9.05,57.38347548546182,1697.42,1872.68,False,0,Buy,Health Technology
SHYAMMETL,1041.4,13,6.31955079122002,6.36,3.46,51.72,,8.02,32.54306539325131,992.59,1093.47,False,2,Buy,Producer Manufacturing
AEGISVOPAK,284.79,13,18.711963318049197,18.75,15.85,42.73,,9.38,14.94403958991636,262.37,299.03,False,0,Strong buy,Transportation
DEEPAKNTR,1693.0,12,2.599842433791897,2.64,5.62,47.63,,14.94,51.15774132192596,1616.26,1777.65,False,2,Buy,Process Industries
ENDURANCE,2734.0,12,3.9188110532517353,3.96,1.06,60.77,,12.65,73.00048336400307,2624.5,2870.7,False,2,Buy,Producer Manufacturing
LTF,306.4,12,6.278182448838004,6.32,7.12,41.06,0.13,12.94,9.436852010569456,292.24,321.72,False,0,Buy,Finance
JSWINFRA,341.05,12,10.016129032258068,10.06,12.0,53.55,,4.32,11.538500813239818,323.74,358.1,False,0,Buy,Industrial Services
ANANDRATHI,2113.4,12,11.231578947368424,11.27,12.07,52.1,,2.97,52.60855651518131,2034.49,2219.07,False,0,Strong buy,Finance
MOTHERSON,146.94,11,0.961934863267834,1.0,-1.9,45.09,-0.23,5.66,3.7483165796740607,141.32,154.29,False,0,Buy,Producer Manufacturing
BHEL,419.05,11,0.4193625688952792,0.46,-2.44,43.77,0.11,6.55,14.968855675611067,396.6,440.0,False,0,Strong buy,Producer Manufacturing
POONAWALLA,461.0,11,7.459207459207459,7.5,8.3,41.93,,23.73,14.73312871311242,438.9,484.05,False,0,Buy,Finance
FEDERALBNK,355.25,11,9.661984874208986,9.7,10.5,47.06,0.23,2.46,7.621839633838846,343.82,373.01,False,0,Buy,Finance
PRESTIGE,1694.7,11,12.657049790600285,12.7,13.5,40.49,0.58,6.52,49.94609963240738,1619.78,1779.44,False,0,Buy,Finance
OBEROIRLTY,1869.9,11,10.644970414201188,10.68,11.48,27.86,0.06,11.88,51.67161109265921,1792.39,1963.4,False,2,Buy,Finance
NYKAA,333.8,11,10.529801324503314,10.57,11.97,65.31,0.33,0.28,7.700458244179765,322.25,350.49,False,0,Strong buy,Retail Trade
TVSHLTD,15054.0,11,14.43557582668187,14.48,11.58,55.55,,8.26,446.66339607180174,14384.0,15806.7,False,0,Strong buy,Producer Manufacturing
GRANULES,883.0,11,11.772151898734178,11.81,7.67,29.83,,3.06,24.86682066687199,845.7,927.15,False,3,Buy,Health Technology
