symbol,latest_oi,prev_oi,change_in_oi,pct_change_oi,volume,fut_value,opt_value,prem_value,underlying_value
PATANJALI,65979,48010,17969,37.43,133194,41194.69896,51656692952,9413.42702,385
MANKIND,27572,21071,6501,30.85,52430,9218.0181,30946926370,3419.6637,2429
OFSS,41626,32224,9402,29.18,75699,43344.83619,81511668189,10783.48189,11161
NIFTY,12554888,9984741,2570147,25.74,36461186,146199.77135,55373366579246,1158798.49996,23384
GMRAIRPORT,41335,36633,4702,12.84,22470,22679.50196,13611782180,1838.0513,99
KPITTECH,37335,34253,3082,9.0,24275,7896.55343,9485297834,1200.50584,531
APOLLOHOSP,41436,38060,3376,8.87,17322,29496.55646,16430085428,1046.85428,8937
BSE,181130,168154,12976,7.72,124990,60867.90068,77009284330,10813.6433,3182
BANKNIFTY,1434321,1343456,90865,6.76,969597,78944.46961,1642301865734,86057.49734,56409
PAYTM,67711,63489,4222,6.65,55415,49997.9923,68982315950,8436.4045,1807
INDHOTEL,43939,41369,2570,6.21,32004,12689.2842,23023720770,2415.7077,745
PHOENIXLTD,16533,15571,962,6.18,6404,1459.6085,4239958513,442.00513,1916
RVNL,52624,49564,3060,6.17,33144,9420.57404,12901714267,1501.10017,210
CGPOWER,38738,36559,2179,5.96,30631,9675.34183,23293033293,3091.18293,910
ICICIGI,36532,34580,1952,5.64,23457,4812.03144,11194515143,1061.13143,1504
ADANIPORTS,72834,68953,3881,5.63,36939,19780.8476,29542731936,2464.60936,1787
AUROPHARMA,38956,36893,2063,5.59,17608,28774.46951,14044365049,1764.45049,1729
BOSCHLTD,23161,21955,1206,5.49,15348,3031.72318,18506427347,1045.77347,47800
UNOMINDA,17831,17008,823,4.84,9185,5492.92491,5727653101,444.26101,1229
SUNPHARMA,88969,85038,3931,4.62,78345,17261.74107,50338890777,3314.01777,1883
TMPV,138745,132675,6070,4.58,39295,14777.68416,18298692784,1859.64784,299
TATAELXSI,43755,41906,1849,4.41,13166,5306.15276,5147393715,420.68715,3281
ATHERENERG,39662,38120,1542,4.05,11495,8006.05458,6310811475,957.26475,1601
WAAREEENER,79791,76715,3076,4.01,14928,10380.68164,5757541713,426.27963,2504
TORNTPHARM,36687,35308,1379,3.91,12683,6789.3312,7251686953,710.99453,4971
MIDCPNIFTY,165337,159182,6155,3.87,73260,10080.49816,126980110132,6500.56132,14497
LAURUSLABS,52993,51119,1874,3.67,25234,29600.69894,40139457554,5106.04554,1994
RADICO,14752,14242,510,3.58,6154,3551.77816,3751097458,324.24958,4415
MARICO,26157,25273,884,3.5,12332,7913.35416,11513507460,944.6346,825
UNITDSPR,31108,30115,993,3.3,5571,3037.47656,2872350172,249.98172,1390
VOLTAS,62049,60199,1850,3.07,40323,9383.67795,16873268523,2617.66023,1150
HEROMOTOCO,57209,55546,1663,2.99,32116,18122.51533,24557684196,2267.39196,5385
LICHSGFIN,63500,61685,1815,2.94,14058,8318.764,7110179740,809.8974,564
MAZDOCK,61727,59976,1751,2.92,13121,7857.73779,6192330950,535.2095,2247
CONCOR,31741,30974,767,2.48,5882,6923.09825,3030715100,362.0885,491
WIPRO,146024,142541,3483,2.44,22790,15959.4222,9926213370,1053.0837,164
LICI,69631,67981,1650,2.43,10466,7091.39228,5243706216,475.15216,396
