index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,22-Sep-2026,23382.55,3653076,3807921,1.04,23350,13.87
BANKNIFTY,29-Sep-2026,56420.15,586199,550002,0.94,57000,13.37
