index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,15-Sep-2026,23431.5,2623737,1551389,0.59,23600,10.7
BANKNIFTY,29-Sep-2026,56295.55,523776,445453,0.85,57500,13.22
