symbol,swing_high_20d,swing_low_20d,swing_low_50d,base_high,base_low,base_length_days,breakout_20d_high,volume_20d_avg,volume_ratio_vs_20d,consolidation_atr_pct,pct_from_base_high,bars_available
20MICRONS,233.53,182.0,182.0,,,,False,238423.7,0.179,5.214,,4422
21STCENMGM,46.49,37.36,30.6,,,,False,7491.65,0.108,7.636,,2140
360ONE,1222.9,1098.0,1060.6,,,,False,746094.0,0.151,4.5,,1729
3BBLACKBIO,1588.9,1099.5,1099.5,,,,False,22803.1,0.217,5.783,,100
3IINFOLTD,27.5,21.7,17.0,,,,False,292855.85,0.165,5.666,,5281
3MINDIA,37300.0,32480.0,32480.0,,,,False,3496.8,0.081,7.686,,6007
3PLAND,33.97,30.75,30.75,,,,False,3043.45,0.571,3.164,,4561
5PAISA,416.95,327.55,327.55,,,,False,83123.35,0.431,7.285,,2180
63MOONS,903.0,739.1,650.0,,,,False,366260.85,0.359,4.703,,5241
A2ZINFRA,17.12,14.06,12.0,,,,False,359660.9,0.065,4.155,,3879
AAATECH,98.4,90.05,85.0,,,,False,15362.3,0.071,3.092,,1442
AADHARHFC,510.45,459.3,459.3,,,,False,348941.55,0.172,4.385,,580
AAKASH,9.59,8.06,8.06,,,,False,130781.65,0.24,4.407,,2058
AAREYDRUGS,100.3,74.6,73.41,,,,False,216364.7,0.406,6.105,,1261
AARNAV,36.9,29.99,23.51,,,,False,29208.0,0.023,3.707,,133
AARON,147.89,123.35,111.15,,,,False,12688.1,0.549,5.116,,1970
AARTECH,53.36,46.5,44.85,,,,False,101816.5,0.111,3.264,,785
AARTIDRUGS,443.75,404.5,376.1,,,,False,141839.9,0.231,3.101,,5691
AARTIIND,551.75,486.5,462.05,,,,False,1017669.55,0.177,4.311,,6012
AARTIPHARM,898.95,806.4,650.8,898.95,806.4,20.0,False,440067.0,0.418,2.784,-7.481,895
AARTISURF,677.7,494.6,361.6,,,,False,24548.95,0.176,6.008,,1528
AARVI,161.0,139.61,138.0,,,,False,28778.45,0.135,3.727,,2206
AASTHA,88.37,73.0,70.0,,,,False,833629.15,1.523,3.33,,48
AATMAJ,20.5,17.8,16.7,,,,False,2900.0,0.69,11.284,,789
AAVAS,1444.5,1234.2,1234.2,,,,False,129857.0,0.135,5.631,,1961
ABAN,18.83,14.25,12.89,,,,False,14427.45,0.357,11.83,,5978
ABANSENT,32.79,26.52,25.05,,,,False,9317.2,0.343,4.239,,100
ABB,7825.0,7258.0,6715.5,,,,False,152648.55,0.386,3.536,,6012
