index,expiry,spot,total_ce_oi,total_pe_oi,pcr,max_pain,atm_iv
NIFTY,14-Jul-2026,24222.15,2686291,2993506,1.11,24200,9.89
BANKNIFTY,28-Jul-2026,57907.05,483099,433257,0.9,58000,12.99
