date,symbol,subject,details,category
10-Jul-2026 09:55:49,GRWRHITECH,Demise,"Garware Hi-Tech Films Limited has informed the Exchange regarding Demise of Mrs Sarita Garware Ramsay, Joint Managing Director of the company on July 09, 2026.",Demise
10-Jul-2026 09:53:33,SWANDEF,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Swan Defence and Heavy Industries Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018","Certificate under SEBI (Depositories and Participants) Regulations, 2018"
10-Jul-2026 09:41:01,MANKIND,Copy of Newspaper Publication,Mankind Pharma Limited has informed the Exchange about Copy of Newspaper Publication,Copy of Newspaper Publication
10-Jul-2026 09:23:06,RAILTEL,Bagging/Receiving of orders/contracts,Railtel Corporation Of India Limited has informed the Exchange about Bagging/Receiving of orders/contracts,Bagging/Receiving of orders/contracts
10-Jul-2026 08:51:29,DRREDDY,Analysts/Institutional Investor Meet/Con. Call Updates,Dr. Reddy's Laboratories Limited has informed the Exchange about Link of Recording,Analysts/Institutional Investor Meet/Con. Call Updates
10-Jul-2026 08:47:00,DLF,Copy of Newspaper Publication,Newspaper Publication,Copy of Newspaper Publication
10-Jul-2026 08:45:37,HFCL,Bagging/Receiving of orders/contracts,HFCL Limited has informed the Exchange about securing Export Order of USD 51.98 million approx. (equivalent to INR 495.80 crore approx.) for supply of Optical Fiber Cable based Data Centre Connectivity Solutions,Bagging/Receiving of orders/contracts
10-Jul-2026 08:38:49,S&SPOWER,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","S&S Power Switchgears Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018","Certificate under SEBI (Depositories and Participants) Regulations, 2018"
10-Jul-2026 00:40:50,ASIANPAINT,Appointment,"Asian Paints Limited has informed the Exchange regarding Appointment of Mr Sudhir Sitapati as Independent Director of the company w.e.f. May 29, 2026.",Appointment
10-Jul-2026 00:40:50,ASIANPAINT,Appointment,"Asian Paints Limited has informed the Exchange regarding re- appointment of  Milind Sarwate as Independent Director of the company for a second term w.e.f. October 21, 2026.",Appointment
10-Jul-2026 00:31:30,ASIANPAINT,Change in Director(s),Asian Paints Limited has informed the Exchange regarding Change in Director(s) of the company.,Change in Director(s)
10-Jul-2026 00:20:29,ASIANPAINT,Updates,"Please find enclosed the summary of the proceedings of the 80th Annual General Meeting of the Company held on Thursday, 9th July 2026 at 11.00 a.m. IST",Updates
10-Jul-2026 00:10:07,ASIANPAINT,Change in Auditors,Asian Paints Limited has informed the Exchange regarding Change in Auditors of the company.,Change in Auditors
09-Jul-2026 23:56:23,ASIANPAINT,Shareholders meeting,"Please find enclosed herewith the Summary of proceedings of 80th AGM, Voting Results and Consolidated Scrutinizer s Report.",Shareholders meeting
09-Jul-2026 23:45:38,AGL,Diversification/Disinvestment,Allcargo Global Limited has informed the Exchange about sale of equity shares of a Step Down Subsidiary,Diversification/Disinvestment
09-Jul-2026 23:33:55,MMFL,Amalgamation/Merger,"MM Forgings Limited has informed the Exchange about the receipt of Certified true copy of the order of Amalgamation of DVS Industries Private Limited, wholly owned subsidiary of the Company with M M Forgings Limited and intimation of Effective date of the Amalgamation",Amalgamation/Merger
09-Jul-2026 23:11:24,INTLCONV,Credit Rating,International Conveyors Limited has informed the Exchange about Credit Rating,Credit Rating
09-Jul-2026 23:03:55,SBIN,General Updates,State Bank of India has informed the Exchange about Update on IPO of SBI Funds Management Limited,General Updates
09-Jul-2026 22:49:26,EXPLEOSOL,General Updates,Expleo Solutions Limited has informed the Exchange about Book closure for the purpose of Annual General Meeting,General Updates
09-Jul-2026 22:46:16,CUMMINSIND,Updates,Cummins India Limited has informed the Exchange regarding 'Cummins India Limited has informed the Exchange regarding 'Business Responsibility and Sustainability Report for FY 2025-26''.,Updates
